,accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.05,0.8682199999999999,0.8572316099423476,0.8682199999999999,0.8896050043736614,0.8682199999999999,0.8719001305156021,0.8682199999999999,0.8111978335976281,0.13178000000000004
0.1,0.9123199999999998,0.892096663417679,0.9123199999999998,0.9164493697181755,0.9123199999999998,0.9034815919841475,0.9123199999999998,0.8728249014842414,0.08768
0.15,0.9154999999999999,0.8976283965928253,0.9154999999999999,0.9173173024003831,0.9154999999999999,0.9068556486321472,0.9154999999999999,0.8772422327015752,0.0845
0.2,0.91398,0.895892540381471,0.91398,0.9168906139351206,0.91398,0.9057093807356096,0.91398,0.8751096164678823,0.08602
0.25,0.91684,0.8986443065510321,0.91684,0.9186655661714542,0.91684,0.9081395307810118,0.91684,0.8792370665623831,0.08315999999999998
0.3,0.9159599999999999,0.8994703274352244,0.9159599999999999,0.9169566796963793,0.9159599999999999,0.907665790482443,0.9159599999999999,0.8778263100901624,0.08404
0.35,0.9147600000000001,0.897793642841089,0.9147600000000001,0.9158995179824363,0.9147600000000001,0.9062008445579841,0.9147600000000001,0.8761636562565155,0.08523999999999997
0.4,0.91336,0.8960851451310105,0.91336,0.9153228197259504,0.91336,0.9051355839572836,0.91336,0.8742295519062481,0.08663999999999998
0.45,0.91246,0.8952672494174463,0.91246,0.9141808760600809,0.91246,0.9042006202573566,0.91246,0.8728385811121391,0.08753999999999998
0.5,0.9128600000000003,0.895295369200719,0.9128600000000003,0.9141248472210105,0.9128600000000003,0.904145370142172,0.9128600000000003,0.8734875326187627,0.08714000000000001
0.55,0.9111199999999999,0.8932921496906963,0.9111199999999999,0.9133821340554523,0.9111199999999999,0.9027798419938203,0.9111199999999999,0.8710470259904427,0.08887999999999999
0.6,0.91228,0.8944915467943346,0.91228,0.9143852655861048,0.91228,0.9038645469092519,0.91228,0.8726779579194411,0.08771999999999998
0.65,0.9116600000000002,0.8930057380114735,0.9116600000000002,0.9134039061984757,0.9116600000000002,0.9025680439422813,0.9116600000000002,0.8718006317383956,0.08834
0.7,0.9118400000000001,0.8954187470127566,0.9118400000000001,0.913318492924732,0.9118400000000001,0.9038565921726235,0.9118400000000001,0.871889078933447,0.08815999999999999
0.75,0.9136000000000002,0.8975594924443877,0.9136000000000002,0.9142651689115254,0.9136000000000002,0.9054590844259361,0.9136000000000002,0.8743964811689535,0.0864
0.8,0.91094,0.8934043610931256,0.91094,0.911600273530763,0.91094,0.9019486109295469,0.91094,0.8706706064505084,0.08906
0.85,0.91228,0.8961358111385804,0.91228,0.9131956629689458,0.91228,0.9041474538730132,0.91228,0.8725580946024771,0.08772
0.9,0.9125399999999999,0.8951570790160218,0.9125399999999999,0.9135809845598339,0.9125399999999999,0.9038406541327068,0.9125399999999999,0.872983375503688,0.08746000000000001
0.95,0.9111199999999998,0.893256525469102,0.9111199999999998,0.9130546943519476,0.9111199999999998,0.902583150655273,0.9111199999999998,0.870962341351267,0.08888000000000001
1.0,0.9114599999999998,0.8939864703653444,0.9114599999999998,0.9118748053630735,0.9114599999999998,0.9024268122588092,0.9114599999999998,0.8713099564835527,0.08854
