,accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.05,0.6479599999999999,0.6145713744547422,0.6479599999999999,0.6759349501503781,0.6479599999999999,0.6269609673308463,0.6479599999999999,0.5228216880375374,0.35204
0.1,0.7606999999999999,0.7041134308047559,0.7606999999999999,0.7590447356684927,0.7606999999999999,0.7206987534742284,0.7606999999999999,0.6658405373193241,0.23930000000000004
0.15,0.8273600000000001,0.7716041094541158,0.8273600000000001,0.8069520352617181,0.8273600000000001,0.7849487307417929,0.8273600000000001,0.7530128184573931,0.17264000000000002
0.2,0.9468200000000002,0.9374801929875766,0.9468200000000002,0.9397837552608814,0.9468200000000002,0.9383782922619964,0.9468200000000002,0.9220509563355667,0.05318000000000001
0.25,0.9506600000000002,0.9422452954203419,0.9506600000000002,0.9422660151396388,0.9506600000000002,0.9420238168803103,0.9506600000000002,0.927580873578683,0.04934
0.3,0.9505800000000003,0.9427797962613351,0.9505800000000003,0.9415275755724676,0.9505800000000003,0.9419335401353582,0.9505800000000003,0.927457527992852,0.04942000000000001
0.35,0.9492600000000002,0.9421733544128935,0.9492600000000002,0.9402348886635472,0.9492600000000002,0.9410141186440143,0.9492600000000002,0.9254926739474416,0.05074000000000001
0.4,0.94912,0.9423837149100865,0.94912,0.9394344336417773,0.94912,0.9406624242320505,0.94912,0.9252396201578698,0.05088000000000001
0.45,0.94848,0.9418493600592238,0.94848,0.9387546188723932,0.94848,0.9400465012457998,0.94848,0.9242909225093864,0.05152000000000001
0.5,0.9485399999999999,0.942420913764597,0.9485399999999999,0.9381191621142423,0.9485399999999999,0.9400281377423658,0.9485399999999999,0.9243570331006622,0.051460000000000006
0.55,0.9499400000000002,0.9445613378909833,0.9499400000000002,0.9397595075295062,0.9499400000000002,0.9419404578921857,0.9499400000000002,0.9263888232452241,0.05006
0.6,0.94872,0.9428400694655285,0.94872,0.9383630549183156,0.94872,0.9403759728589225,0.94872,0.9246026565678427,0.05128
0.65,0.9497600000000002,0.9445841737946897,0.9497600000000002,0.9392901468260005,0.9497600000000002,0.9417165232906872,0.9497600000000002,0.9261231326214567,0.05024000000000001
0.7,0.9496199999999999,0.9446268818190784,0.9496199999999999,0.9390351628943346,0.9496199999999999,0.9415762083899365,0.9496199999999999,0.925900527864565,0.05038000000000001
0.75,0.9504,0.9461440822086564,0.9504,0.9401622705784142,0.9504,0.9428724505691889,0.9504,0.927048566192184,0.0496
0.8,0.9504600000000001,0.9463718341398771,0.9504600000000001,0.9401371890594126,0.9504600000000001,0.94299861145081,0.9504600000000001,0.9271172510427373,0.04953999999999999
0.85,0.9497199999999999,0.9458357254699987,0.9497199999999999,0.9381587259093253,0.9497199999999999,0.941705270452188,0.9497199999999999,0.9260029760012916,0.050280000000000005
0.9,0.95024,0.9461334344105831,0.95024,0.9390618721379765,0.95024,0.9422929096088581,0.95024,0.9267752945085753,0.049760000000000006
0.95,0.9494000000000002,0.9458912745896508,0.9494000000000002,0.9371599351390928,0.9494000000000002,0.9411874960579439,0.9494000000000002,0.9254911092931498,0.05060000000000002
1.0,0.95016,0.9468398847471097,0.95016,0.9387941904395615,0.95016,0.9425149105589965,0.95016,0.926642534974491,0.049840000000000016
