,accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.05,0.8055599999999997,0.7577606575444746,0.8055599999999997,0.7719098099907319,0.8055599999999997,0.7622926151297906,0.8055599999999997,0.7169198896271599,0.19443999999999995
0.1,0.83378,0.7781012305885534,0.83378,0.805596874054526,0.83378,0.7875956539448495,0.83378,0.7611157516717496,0.16621999999999995
0.15,0.8614399999999999,0.8123530482262241,0.8614399999999999,0.8281104073580033,0.8614399999999999,0.8173815846226428,0.8614399999999999,0.7989654501386938,0.13856
0.2,0.9457800000000001,0.9362707093265868,0.9457800000000001,0.9391775874871918,0.9457800000000001,0.9372011448298371,0.9457800000000001,0.9204836560859815,0.05422
0.25,0.94682,0.9377019369139853,0.94682,0.9392866753498983,0.94682,0.9379340045167455,0.94682,0.9219433668844856,0.053180000000000026
0.3,0.9460799999999999,0.9389520505851853,0.9460799999999999,0.9374255758871192,0.9460799999999999,0.9376860453627974,0.9460799999999999,0.9207727687600041,0.05392
0.35,0.9461400000000001,0.9398978516952089,0.9461400000000001,0.937233939175951,0.9461400000000001,0.9380398326863368,0.9461400000000001,0.9208247680553389,0.05385999999999999
0.4,0.9465400000000002,0.9404541144313301,0.9465400000000002,0.9367035884435221,0.9465400000000002,0.9380348022529987,0.9465399999999999,0.9213853651526946,0.05346
0.45,0.94452,0.9402050447458516,0.94452,0.932944527164767,0.94452,0.9360424079850017,0.94452,0.9182833258885763,0.05548000000000001
0.5,0.94562,0.9411413941526839,0.94562,0.9344738578546091,0.94562,0.9373250720551404,0.94562,0.919909890350075,0.054380000000000026
0.55,0.94464,0.9403457098046792,0.94464,0.9336244865310642,0.94464,0.9364377012549809,0.94464,0.9184668230819092,0.055360000000000006
0.6,0.9444800000000002,0.9404746819184343,0.9444800000000002,0.9330137762105448,0.9444800000000002,0.9362103509904148,0.9444800000000002,0.9182074353705576,0.05551999999999999
0.65,0.9440799999999999,0.9400865751465445,0.9440799999999999,0.9328445906880632,0.9440799999999999,0.9358948416153943,0.9440799999999999,0.9176558582416467,0.055920000000000004
0.7,0.9465399999999999,0.9442097784811271,0.9465399999999999,0.9350405568503694,0.9465399999999999,0.9390323393605334,0.9465399999999999,0.9211873300081611,0.05346
0.75,0.9455200000000002,0.9436427330264928,0.9455200000000002,0.9332127890184442,0.9455200000000002,0.9378265620170275,0.9455200000000002,0.9196228000580008,0.05448
0.8,0.9447399999999999,0.941729064545746,0.9447399999999999,0.933297814548802,0.9447399999999999,0.93698634334704,0.9447399999999999,0.9185625958770021,0.05526
0.85,0.9458,0.9434690124072682,0.9458,0.9335532668032306,0.9458,0.9379506834586883,0.9458,0.9200723415123092,0.05420000000000002
0.9,0.9440999999999999,0.942018214322936,0.9440999999999999,0.9318279887771277,0.9440999999999999,0.9362948359587374,0.9440999999999999,0.9175323255699532,0.055900000000000005
0.95,0.9443199999999998,0.942353529795803,0.9443199999999998,0.9324514239036021,0.9443199999999998,0.936755603333764,0.9443199999999998,0.9178922171727042,0.05567999999999999
1.0,0.94312,0.9408185191065422,0.94312,0.93082843031311,0.94312,0.9352305462548018,0.94312,0.9161084887981218,0.05688
