,accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.05,0.9058800000000001,0.8928641065318814,0.9058800000000001,0.9192685945316365,0.9058800000000001,0.9051973654118263,0.9058800000000001,0.8641407285884987,0.09412000000000001
0.1,0.94206,0.927141412047319,0.94206,0.9405291586934037,0.94206,0.933226680709499,0.94206,0.9153808718844064,0.05794000000000002
0.15,0.9441399999999999,0.9306173307710445,0.9441399999999999,0.9411998686763525,0.9441399999999999,0.9353190566712816,0.9441399999999999,0.9183149740973623,0.05585999999999999
0.2,0.9443600000000002,0.9329936976870674,0.9443600000000002,0.9396081980486193,0.9443600000000002,0.9357363340086899,0.9443600000000002,0.918512550599008,0.05564
0.25,0.9453200000000002,0.9355077472018434,0.9453200000000002,0.9395189225731585,0.9453200000000002,0.9369209969473399,0.9453200000000002,0.9198464261517532,0.054680000000000006
0.3,0.94644,0.9383128807691239,0.94644,0.9394997193513511,0.94644,0.9382963067950426,0.94644,0.9213932812061317,0.05356000000000001
0.35,0.9447800000000001,0.9368713739807477,0.9447800000000001,0.9364122362532038,0.9447800000000001,0.9360529160011288,0.9447800000000001,0.9189002103630005,0.05522000000000002
0.4,0.9453000000000003,0.938888615122604,0.9453000000000003,0.9364223551153943,0.9453000000000003,0.93702817139101,0.9453000000000003,0.9195998153973488,0.054700000000000006
0.45,0.9436599999999999,0.9367922294988048,0.9436599999999999,0.9349086972337262,0.9436599999999999,0.9352382996178753,0.9436599999999999,0.9171944650200732,0.05634
0.5,0.94514,0.9386544697693329,0.94514,0.935440272537089,0.94514,0.9364405927845412,0.94514,0.9193319170506726,0.05486000000000001
0.55,0.9444400000000001,0.9395055454406888,0.9444400000000001,0.9348140639643086,0.9444400000000001,0.9364918759210761,0.9444400000000001,0.9182661679998183,0.05555999999999999
0.6,0.9453200000000003,0.941190201163721,0.9453200000000003,0.9352114922560817,0.9453200000000003,0.937517025610047,0.9453199999999999,0.9194827080688903,0.054680000000000006
0.65,0.9448799999999999,0.9404898158340543,0.9448799999999999,0.9348150688430974,0.9448799999999999,0.9370109191726254,0.9448799999999999,0.9188380399502124,0.05512
0.7,0.94406,0.9399902856024036,0.94406,0.932492028632652,0.94406,0.9356586980623702,0.94406,0.9175753105661232,0.05594000000000001
0.75,0.9448000000000002,0.9411802555641805,0.9448000000000002,0.9339093399353137,0.9448000000000002,0.9369963476560537,0.9448000000000001,0.9186768151600009,0.0552
0.8,0.9453000000000001,0.9422899273605103,0.9453000000000001,0.9347586997634383,0.9453000000000001,0.9378655097783514,0.9453000000000001,0.9193977918240739,0.054700000000000006
0.85,0.9454600000000001,0.9424983143829175,0.9454600000000001,0.934003958689139,0.9454600000000001,0.9376555921188146,0.9454600000000001,0.9196188867806153,0.05454000000000001
0.9,0.9443,0.9419746016814748,0.9443,0.9325285927952441,0.9443,0.9366593336762153,0.9443,0.9178687055972936,0.0557
0.95,0.94622,0.9446375975471057,0.94622,0.9336595403317516,0.94622,0.9385723731718224,0.94622,0.9206326580010898,0.05378000000000001
1.0,0.94312,0.9408185191065422,0.94312,0.93082843031311,0.94312,0.9352305462548018,0.94312,0.9161084887981218,0.05688
