accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.919,0.9020449406510052,0.919,0.9272892154984227,0.919,0.9141459468698393,0.919,0.8826382487018667,0.081
0.8955,0.8749988047526743,0.8955,0.8987601177136805,0.8955,0.886200835190999,0.8955,0.8489560259680003,0.1045
0.907,0.8917353009661678,0.907,0.9107214686197419,0.907,0.9002858593369333,0.907,0.8650964179835179,0.093
0.923,0.906307885836921,0.923,0.9194378440401616,0.923,0.9124868027276548,0.923,0.887455406945536,0.077
0.9225,0.9083688587646125,0.9225,0.9156010038121698,0.9225,0.9117573573894221,0.9225,0.8868594144281254,0.0775
0.921,0.914583905796246,0.921,0.9091859219187423,0.921,0.9113459968947984,0.9209999999999999,0.8840887615984601,0.079
0.9155,0.9023701550200419,0.9155,0.913505583466225,0.9155,0.9074873434955496,0.9155,0.877026515702768,0.0845
0.9185,0.902666544839,0.9185,0.9155871946186632,0.9185,0.9089783633971412,0.9185,0.8812541888859748,0.0815
0.901,0.8861796113293413,0.901,0.9075199666660495,0.901,0.8962715343415026,0.901,0.8562699511644494,0.099
0.909,0.889094733229263,0.909,0.9176190899416717,0.909,0.9026647794765946,0.909,0.8681869109602584,0.091
0.9085,0.8916786635723654,0.9085,0.9048114506005377,0.9085,0.8977394967916231,0.9085,0.8670032526062457,0.0915
0.925,0.9101151078363537,0.925,0.9211210050036897,0.925,0.915421806803932,0.925,0.8905296867069104,0.075
0.9185,0.9073706618210289,0.9185,0.9071994961407364,0.9185,0.9065813999035918,0.9185,0.8807210885847154,0.0815
0.905,0.8951306405404873,0.905,0.9079767104974691,0.905,0.9011244347638353,0.905,0.8622103561971074,0.095
0.912,0.8964627394439741,0.912,0.9091536830918215,0.912,0.9025558126950646,0.912,0.8719825430740555,0.088
0.9015,0.8889055184510722,0.9015,0.8847645562853567,0.9015,0.8863397493205524,0.9015,0.8556215437574823,0.0985
0.9265,0.9119980125941883,0.9265,0.9320561255862999,0.9265,0.9216519846422013,0.9265,0.8930759008355355,0.0735
0.92,0.8950821039929218,0.92,0.9260438489746846,0.92,0.9095882500026162,0.92,0.8844800791311458,0.08
0.9105,0.8877525851386346,0.9105,0.9190121572862834,0.9105,0.9026412019659436,0.9105,0.8704155895113365,0.0895
0.913,0.8975910387970841,0.913,0.9134640485837,0.913,0.9052190318206041,0.9130000000000001,0.8735271638575524,0.087
0.9265,0.91379019087136,0.9265,0.9219768263921231,0.9265,0.9175331809931496,0.9265,0.8925363968989074,0.0735
0.915,0.9039440348176214,0.915,0.9159224689237142,0.915,0.9096083309161629,0.915,0.8763322022579557,0.085
0.9015,0.8806268541605885,0.9015,0.9036806003582373,0.9015,0.891597026504635,0.9015,0.8576076200884568,0.0985
0.9185,0.8985644947569315,0.9185,0.9129500956547201,0.9185,0.9056237484374133,0.9185,0.8812307842520763,0.0815
0.9075,0.8844687218755293,0.9075,0.9086569427245631,0.9075,0.8954847487602703,0.9075,0.866040751127611,0.0925
