accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.906,0.8777387149344791,0.906,0.9241795515677375,0.906,0.8994711289696405,0.906,0.8647133091520367,0.094
0.914,0.8954525254320022,0.914,0.916538495670347,0.914,0.905630902630384,0.914,0.8752164215189281,0.086
0.924,0.9131796199171003,0.924,0.9185848474424416,0.924,0.9152621681329847,0.924,0.8889091093799447,0.076
0.8975,0.8745624774269651,0.8975,0.8928962130775625,0.8975,0.8827054385115206,0.8975,0.8512894114796595,0.1025
0.9105,0.8891087203104012,0.9105,0.9173328799074992,0.9105,0.9021373694676763,0.9105,0.8708768973521829,0.0895
0.91,0.9006369680550561,0.91,0.9066191677391711,0.91,0.9033937455233271,0.91,0.8687119880177807,0.09
0.915,0.8980198981696471,0.915,0.9199428931073191,0.915,0.9083593482632519,0.915,0.8767636391842333,0.085
0.917,0.8976270444781241,0.917,0.9201294467277444,0.917,0.9084198357408363,0.917,0.8792256911691789,0.083
0.902,0.8916654082166074,0.902,0.9005687866843551,0.902,0.895681341538192,0.902,0.8567580248393278,0.098
0.905,0.8834349939505927,0.905,0.9092589620150101,0.905,0.8957689050818819,0.905,0.8621680744263381,0.095
0.9085,0.8883093417682054,0.9085,0.9031641139418126,0.9085,0.8948646777156677,0.9085,0.8669136400428494,0.0915
0.9305,0.9180176937842822,0.9305,0.9264900289291568,0.9305,0.9218995693147085,0.9305,0.8984945055587038,0.0695
0.9175,0.8995099621623476,0.9175,0.9065402999426678,0.9175,0.902691351775193,0.9175,0.8798412593801193,0.0825
0.911,0.8941973062035938,0.911,0.9135163909574291,0.911,0.9032078043323546,0.911,0.8707546909512309,0.089
0.9075,0.8893514734986749,0.9075,0.9118404122389371,0.9075,0.8999329647268265,0.9075,0.8660285764667246,0.0925
0.898,0.8778397164767832,0.898,0.9036785114840438,0.898,0.8898482771132307,0.898,0.8526958288007815,0.102
0.9275,0.9118522169265311,0.9275,0.9335429722805725,0.9275,0.9221018556681143,0.9275,0.894583749394311,0.0725
0.924,0.9056951930328566,0.924,0.9233455437996695,0.924,0.913736472977634,0.924,0.8893038376611648,0.076
0.902,0.8847028062625397,0.902,0.8974698579640147,0.902,0.8907458001028615,0.902,0.8572221030382918,0.098
0.9005,0.88014014566087,0.9005,0.9014504508461626,0.9005,0.8899743756228674,0.9005,0.8560448503481327,0.0995
0.923,0.9119258422467508,0.923,0.9283413623012149,0.923,0.9198226942499915,0.923,0.8880389217421144,0.077
0.9155,0.9020894403236364,0.9155,0.9106932073193102,0.9155,0.9050868075910685,0.9155,0.8768279030715769,0.0845
0.9015,0.8802975180233835,0.9015,0.9024861848754288,0.9015,0.8903928950469395,0.9015,0.8573149276832942,0.0985
0.934,0.921479978385642,0.934,0.929598234443986,0.934,0.9254315392758644,0.934,0.903688616541699,0.066
0.9045,0.8849071812524603,0.9045,0.9080027314437652,0.9045,0.8955618311233375,0.9045,0.8617492841363457,0.0955
