accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.9295,0.9146662816184473,0.9295,0.933997442495663,0.9295,0.9239916641401863,0.9295,0.8977074869413814,0.0705
0.9105,0.8976422665725406,0.9105,0.9103571863117912,0.9105,0.9035179384104737,0.9105,0.8699475721609338,0.0895
0.905,0.8886318409194337,0.905,0.9043275610601049,0.905,0.8955825355325316,0.905,0.8618371729267759,0.095
0.918,0.9005151032387503,0.918,0.9063051057649482,0.918,0.9029645791521553,0.918,0.880051285389442,0.082
0.9065,0.884052877349327,0.9065,0.909867321207694,0.9065,0.8964630076986793,0.9064999999999999,0.8647393103368461,0.0935
0.9125,0.8995877245820205,0.9125,0.9094940818759603,0.9125,0.9040100536217631,0.9125,0.8726182802958313,0.0875
0.9215,0.9030233557128295,0.9215,0.9238600610539892,0.9215,0.9130358565748041,0.9215,0.8861812842158452,0.0785
0.9105,0.890321061515592,0.9105,0.9112383031868622,0.9105,0.9004240476251532,0.9105,0.8699059834526225,0.0895
0.906,0.8965228322905118,0.906,0.9054029442836712,0.906,0.9006010110748411,0.906,0.8631884015784275,0.094
0.912,0.8934548004884625,0.912,0.9149786162824775,0.912,0.9039060022493399,0.912,0.8720504353920128,0.088
0.9185,0.9080209416758667,0.9185,0.9126474900867524,0.9185,0.9101105074622087,0.9185,0.8809838473906256,0.0815
0.9175,0.8986605406723314,0.9175,0.9206696302237786,0.9175,0.908929045850147,0.9175,0.8803117986452746,0.0825
0.9135,0.891412475457046,0.9135,0.9052351589330262,0.9135,0.8980264736465063,0.9135,0.8741262048505067,0.0865
0.904,0.8857031541710981,0.904,0.9110175485398724,0.904,0.897713582984986,0.904,0.8610751337513621,0.096
0.9165,0.9035830666980966,0.9165,0.9207467168247824,0.9165,0.9118209626032735,0.9165,0.8786678015223195,0.0835
0.907,0.896386194567298,0.907,0.9037007950128334,0.907,0.899799137216119,0.907,0.8641051709078396,0.093
0.925,0.9092780703295112,0.925,0.9286861544023104,0.925,0.9183822319657836,0.925,0.890692423418201,0.075
0.9095,0.8867166753322796,0.9095,0.9120523415634025,0.9095,0.8986974655867016,0.9095,0.8691010969834312,0.0905
0.9105,0.8972448838425625,0.9105,0.9057106025582066,0.9105,0.9014037859370609,0.9105,0.869330523331254,0.0895
0.9055,0.8860667598083812,0.9055,0.9012582170390635,0.9055,0.8929334563104191,0.9055,0.862295984944361,0.0945
0.917,0.9047920902371965,0.917,0.9208657865937013,0.917,0.9123563245622273,0.917,0.8795446497506719,0.083
0.9135,0.9012984622430321,0.9135,0.9147648490459654,0.9135,0.9076175403097505,0.9135,0.8743861804467932,0.0865
0.9005,0.8868418257930367,0.9005,0.8986936722155562,0.9005,0.8923778421881611,0.9005,0.8552598322395996,0.0995
0.9185,0.9035647106184682,0.9185,0.9113042114328795,0.9185,0.907383952904193,0.9185,0.8809211588489825,0.0815
0.901,0.8784867883862337,0.901,0.9044168574603723,0.901,0.8906643267835164,0.901,0.8564823757820532,0.099
