accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.915,0.89646658158116,0.915,0.9278705939332084,0.915,0.9114607060044371,0.915,0.8770459197326833,0.085
0.9045,0.8786181689471392,0.9045,0.9119138261519262,0.9045,0.8942543008898679,0.9045,0.8624809021252821,0.0955
0.9075,0.8914919434914831,0.9075,0.9058015434670762,0.9075,0.8976448386144401,0.9075,0.865064606701621,0.0925
0.921,0.906463349131732,0.921,0.9167875660432325,0.921,0.9113575472797678,0.9209999999999999,0.8846906809270724,0.079
0.9125,0.892492744892888,0.9125,0.914268263276743,0.9125,0.9028691300891113,0.9125,0.8728695201768785,0.0875
0.9125,0.8982086557950203,0.9125,0.910646752071584,0.9125,0.9041733243627625,0.9125,0.8725899942374274,0.0875
0.9125,0.8985321111783611,0.9125,0.913794416113188,0.9125,0.9058722238674667,0.9125,0.8728813867115286,0.0875
0.915,0.8999349675805223,0.915,0.9132509954329148,0.915,0.9060462926379377,0.915,0.876273248347611,0.085
0.914,0.8977869254600557,0.914,0.9165766825751757,0.914,0.9068403345363257,0.914,0.8751177124469159,0.086
0.915,0.8894219185946234,0.915,0.9172199724896525,0.915,0.9027323756814419,0.915,0.8766596084522993,0.085
0.9115,0.8970676359962763,0.9115,0.9147825354304744,0.9115,0.9056222433695104,0.9115,0.871314327840927,0.0885
0.917,0.8957351048393046,0.917,0.9241914821011461,0.917,0.9091524768353456,0.917,0.8799091215894823,0.083
0.9145,0.8995768380679948,0.9145,0.9015442735003178,0.9145,0.9004161828322251,0.9145,0.8746422539176129,0.0855
0.9075,0.8883348099496526,0.9075,0.9119278986664345,0.9075,0.8996120751320684,0.9075,0.865928621847692,0.0925
0.9115,0.8874573432786325,0.9115,0.9217855518863337,0.9115,0.9035766957304313,0.9115,0.8724686926852149,0.0885
0.913,0.8949028785336872,0.913,0.9105450649383212,0.913,0.902169287654457,0.9130000000000001,0.8734706031852685,0.087
0.9235,0.9093312273534409,0.9235,0.9255588589383552,0.9235,0.9171973393768945,0.9235,0.8884286265892084,0.0765
0.9215,0.9061360471277591,0.9215,0.9225148269717792,0.9215,0.9138568890709341,0.9215,0.8860771801707537,0.0785
0.901,0.8800786079332746,0.901,0.9036970799928823,0.901,0.8913403179971847,0.901,0.856834421054306,0.099
0.8985,0.8795216252128316,0.8985,0.9029089260745082,0.8985,0.8906613296778444,0.8985,0.8530524729350525,0.1015
0.921,0.9101458149802967,0.921,0.921631335268152,0.921,0.9156883931419265,0.9209999999999999,0.8848163111767544,0.079
0.9135,0.8970017093316917,0.9135,0.9184221419863193,0.9135,0.9072221831970176,0.9135,0.874561145278496,0.0865
0.897,0.8784402964650214,0.897,0.9014166628646417,0.897,0.8888143505752759,0.897,0.8509814786615967,0.103
0.919,0.9043068864410079,0.919,0.912366152889123,0.919,0.9082466155287906,0.919,0.8817116758607848,0.081
0.9025,0.8861403134604875,0.9025,0.9056933968452104,0.9025,0.895361541170407,0.9025,0.8582935344063298,0.0975
