accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.922,0.9038356924005445,0.922,0.9231543927298468,0.922,0.9132101029554569,0.922,0.8865704502934989,0.078
0.9075,0.8850034221634804,0.9075,0.9154333995957349,0.9075,0.8994625458845281,0.9075,0.8665474971884803,0.0925
0.915,0.9009727740006834,0.915,0.9195980069468348,0.915,0.9098860360738148,0.915,0.8765229442159715,0.085
0.9205,0.8973433492457801,0.9205,0.9188830185185525,0.9205,0.9074065286304727,0.9205,0.8847360437278103,0.0795
0.9185,0.9037855536956837,0.9185,0.9198608363084083,0.9185,0.9115450293941875,0.9185,0.8814158654659356,0.0815
0.917,0.9095833144310076,0.917,0.9099413866424954,0.917,0.9095975203332926,0.917,0.8785266601051549,0.083
0.9275,0.9098912679255743,0.9275,0.9301953324917086,0.9275,0.91973348072864,0.9275,0.8946343065611218,0.0725
0.923,0.9094741302713185,0.923,0.920366353986195,0.923,0.9147187917929219,0.923,0.8874582033286794,0.077
0.897,0.8755496416638654,0.897,0.9066096165394875,0.897,0.8899677293693328,0.897,0.8512248671134736,0.103
0.9015,0.8727951998581398,0.9015,0.9011916995248924,0.9015,0.8859071954703682,0.9015,0.8573193197245901,0.0985
0.9225,0.9118422742950818,0.9225,0.9182523316833596,0.9225,0.9146440881960247,0.9225,0.886984352436745,0.0775
0.9155,0.9000526048903628,0.9155,0.9248960585069309,0.9155,0.9119428367974084,0.9155,0.8778017032562592,0.0845
0.9125,0.8976631498752186,0.9125,0.9066851227682916,0.9125,0.9020906569799969,0.9125,0.872311146361342,0.0875
0.913,0.8929804831192123,0.913,0.9195345831035522,0.913,0.9051607001184099,0.9130000000000001,0.8742170644792966,0.087
0.9115,0.8929751184963681,0.9115,0.9201248330795262,0.9115,0.9059157256722558,0.9115,0.8721472863261522,0.0885
0.9005,0.8845709623839935,0.9005,0.8971422089617825,0.9005,0.8903767748886885,0.9005,0.8553085055331773,0.0995
0.9295,0.919789476920183,0.9295,0.9367434942942398,0.9295,0.9277016774827757,0.9295,0.89735152371107,0.0705
0.911,0.8911923609912935,0.911,0.9156665054088883,0.911,0.9026540114071047,0.911,0.8712203535507732,0.089
0.898,0.8776040280210387,0.898,0.9000071949306565,0.898,0.8882663336235761,0.898,0.8524394685361525,0.102
0.907,0.8803027232305976,0.907,0.9100686484677661,0.907,0.894375761165223,0.907,0.8656585763275966,0.093
0.9205,0.9083763509130737,0.9205,0.9219567539686001,0.9205,0.9146515652399231,0.9205,0.8841286914849892,0.0795
0.9085,0.8977616846927328,0.9085,0.9043822818245099,0.9085,0.900787900099222,0.9085,0.8664152158178984,0.0915
0.911,0.8953425353371145,0.911,0.9208789397527973,0.911,0.9071812992007525,0.911,0.8713581901109138,0.089
0.919,0.8978652731304398,0.919,0.9143178317112465,0.919,0.905611311651913,0.919,0.8819924912259232,0.081
0.9045,0.8855752563224742,0.9045,0.9071796614024584,0.9045,0.8955939957758022,0.9045,0.861448070773196,0.0955
