accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.896,0.8680343889186709,0.896,0.8998918513433165,0.896,0.8831620077914208,0.8960000000000001,0.8498689782032132,0.104
0.861,0.8302424844289301,0.861,0.8723530825242203,0.861,0.8479179634162985,0.861,0.8017149516912003,0.139
0.9025,0.8918068175134993,0.9025,0.9052329763986314,0.9025,0.8970927751217963,0.9025,0.858301875138519,0.0975
0.887,0.861235975594326,0.887,0.8928756115295725,0.887,0.8756597304886631,0.887,0.8372653669017918,0.113
0.901,0.8834491788116307,0.901,0.8979016539523038,0.901,0.8904459828866583,0.901,0.8561179309758474,0.099
0.879,0.8532655087385376,0.879,0.870185267796827,0.879,0.859662792190755,0.879,0.8253788719258653,0.121
0.909,0.895429126130748,0.909,0.9089810156376892,0.909,0.9020692555830627,0.909,0.8673249874432577,0.091
0.8715,0.8387560336921203,0.8715,0.8765152248512537,0.8715,0.8555993347818939,0.8715,0.8156464514990562,0.1285
0.8945,0.8777036585955917,0.8945,0.899295130082054,0.8945,0.88731246490864,0.8945,0.8472533657648462,0.1055
0.874,0.8446344314733817,0.874,0.877416280115405,0.874,0.859578573023898,0.874,0.8184249008632383,0.126
0.871,0.8360696659568028,0.871,0.8704119318663935,0.871,0.8505212450518475,0.871,0.8141620744410546,0.129
0.8815,0.8457248927166727,0.8815,0.8921957351333237,0.8815,0.8668641079389547,0.8815,0.8304765896753805,0.1185
0.889,0.859062369209278,0.889,0.8864819195062861,0.889,0.8714829425037092,0.889,0.839631701923011,0.111
0.892,0.8701757532136153,0.892,0.9023710226968306,0.892,0.8842114384624132,0.892,0.8449631877291234,0.108
0.9085,0.8947451134820793,0.9085,0.9067505845075906,0.9085,0.9003130662326643,0.9085,0.8668576737634679,0.0915
0.885,0.8640932446530621,0.885,0.8871740206760087,0.885,0.8747734254997656,0.885,0.8333854909187849,0.115
0.8875,0.8557761349318508,0.8875,0.8960561749633108,0.8875,0.8743406493804599,0.8875,0.8378124722929641,0.1125
0.885,0.8490831698095596,0.885,0.887122323333197,0.885,0.8661438644866156,0.885,0.8350618374685004,0.115
0.895,0.8732270284811258,0.895,0.8888377428152027,0.895,0.8805502134196069,0.895,0.8475077317210786,0.105
0.8735,0.8410282536480319,0.8735,0.8875278921172937,0.8735,0.8614464681966248,0.8735,0.8195539344731153,0.1265
0.8945,0.8724349306792131,0.8945,0.9012098878103361,0.8945,0.8855556940358102,0.8945,0.8479739466251657,0.1055
0.881,0.8521392324113934,0.881,0.8849652759600156,0.881,0.8670429048795395,0.881,0.8288611934846449,0.119
0.8815,0.8550538076992517,0.8815,0.8874332311101706,0.8815,0.8699000764080448,0.8815,0.8293945919525357,0.1185
0.911,0.8884851153856864,0.911,0.9065101492327754,0.911,0.8971135979399768,0.911,0.870608080234621,0.089
0.907,0.8846579516850216,0.907,0.9039963647540169,0.907,0.8940137332045012,0.907,0.8649414510298397,0.093
