accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.921,0.9026964456965499,0.921,0.9319061060427652,0.921,0.9166370481716696,0.9209999999999999,0.8854951320936852,0.079
0.9165,0.8885735537590939,0.9165,0.9182034541134411,0.9165,0.9027975571464473,0.9165,0.8791951212190153,0.0835
0.9085,0.9021021650012694,0.9085,0.9063244405276443,0.9085,0.9037160125217949,0.9085,0.8662467936688687,0.0915
0.916,0.9059764127489047,0.916,0.9084061825578247,0.916,0.9070144085985369,0.916,0.877183555755376,0.084
0.9,0.8813626756848874,0.9,0.9059571949072843,0.9,0.8930346081363941,0.9,0.8555311001812362,0.1
0.907,0.8945178972642478,0.907,0.9056297900149605,0.907,0.8996015937130233,0.907,0.8642711745177157,0.093
0.903,0.8824665823824706,0.903,0.9047997505711741,0.903,0.8930594821793673,0.903,0.8595415116374201,0.097
0.911,0.893898755744086,0.911,0.9064885406824671,0.911,0.8997479177312054,0.911,0.8702032158247073,0.089
0.9125,0.8962415214993688,0.9125,0.9144035560235259,0.9125,0.9050715366406968,0.9125,0.8727919869128397,0.0875
0.913,0.8913487289246468,0.913,0.9164704420055431,0.913,0.9031047807369686,0.9130000000000001,0.8736406842139088,0.087
0.9135,0.8968328426143573,0.9135,0.9142973179975799,0.9135,0.9053182853592906,0.9135,0.8741484560816304,0.0865
0.917,0.8919537938519064,0.917,0.9148451982568515,0.917,0.9030304322689505,0.917,0.8795021114351408,0.083
0.9205,0.9034406917780825,0.9205,0.9114192339391775,0.9205,0.9072578623232359,0.9205,0.8838439330005962,0.0795
0.909,0.8875028993381996,0.909,0.918416986123905,0.909,0.9017534998502569,0.909,0.8686374418657525,0.091
0.9075,0.8903806809400718,0.9075,0.9150090458093115,0.9075,0.9015361740936783,0.9075,0.8661442675378143,0.0925
0.9125,0.8939117852323557,0.9125,0.9042657403293966,0.9125,0.8985834377626006,0.9125,0.8722332101661479,0.0875
0.921,0.9095754361092697,0.921,0.9248174036377734,0.921,0.9169202894470536,0.9209999999999999,0.8849702324074529,0.079
0.912,0.8923037364968209,0.912,0.9106096187856071,0.912,0.9008123859893025,0.912,0.8721198353397561,0.088
0.91,0.8898051062000434,0.91,0.9072304272495023,0.91,0.8982851391195251,0.91,0.8690103623719166,0.09
0.909,0.8898403844433377,0.909,0.9087538756104322,0.909,0.8988575095979666,0.909,0.8679215090911004,0.091
0.922,0.910205539995219,0.922,0.9224116125049164,0.922,0.9157552301763352,0.922,0.886409352296661,0.078
0.904,0.8885463919909506,0.904,0.9028268135265002,0.904,0.8954962988584975,0.904,0.8601764253083584,0.096
0.8965,0.8788725123382948,0.8965,0.898417387541275,0.8965,0.8881982999908349,0.8965,0.8497327311511671,0.1035
0.9175,0.9069132430241131,0.9175,0.9131339061521974,0.9175,0.9098773679199906,0.9175,0.8794139958693812,0.0825
0.906,0.8803919760750629,0.906,0.9118261091657812,0.906,0.8952031481366102,0.906,0.8643847721411697,0.094
