accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.95,0.9386293529084241,0.95,0.9469022262728027,0.95,0.9426819111321452,0.9500000000000001,0.9269039510607333,0.05
0.953,0.9497015178886138,0.953,0.9415532426678376,0.953,0.9455702048274554,0.953,0.9308848939377229,0.047
0.9555,0.9537426853985665,0.9555,0.9473781675236684,0.9555,0.9500156811069423,0.9555,0.9345497519325289,0.0445
0.946,0.9456418395087068,0.946,0.9342323947404055,0.946,0.9392235263153818,0.946,0.9204458274757277,0.054
0.947,0.9388429194655513,0.947,0.9354770627625301,0.947,0.9369366190657707,0.9469999999999998,0.9221397180723263,0.053
0.95,0.946626376163776,0.95,0.9408993979007098,0.95,0.943276061930201,0.9500000000000001,0.9265456898663536,0.05
0.9515,0.9497910051178925,0.9515,0.937023479116022,0.9515,0.9429735617460393,0.9514999999999999,0.9285177379180238,0.0485
0.9495,0.945137443194346,0.9495,0.9380031856098832,0.9495,0.9412558637614917,0.9495,0.9255723468107566,0.0505
0.9435,0.9439880036471066,0.9435,0.9321184781021602,0.9435,0.9378967260848169,0.9435,0.9165676676823753,0.0565
0.96,0.9582889556354015,0.96,0.9475123013322196,0.96,0.9528185914152897,0.96,0.9410429502107714,0.04
0.95,0.9459670932241798,0.95,0.9405402651644277,0.95,0.943085784037585,0.9500000000000001,0.9265092519340009,0.05
0.9565,0.9536955165330911,0.9565,0.9460277674974984,0.9565,0.9496959977298461,0.9565,0.9360014830001181,0.0435
0.951,0.9519317418952048,0.951,0.9345243835589173,0.951,0.9428241144485477,0.951,0.9276955006680788,0.049
0.9465,0.9378526877097776,0.9465,0.9381948916797929,0.9465,0.9377674793230467,0.9465,0.9215829974349579,0.0535
0.9505,0.9439645301904246,0.9505,0.9425815371139832,0.9505,0.9430854447905612,0.9505,0.927290113548606,0.0495
0.944,0.9414241401364415,0.944,0.931617021311128,0.944,0.9362528886543974,0.944,0.9174222469627792,0.056
0.953,0.9451354847451056,0.953,0.9487335616041818,0.953,0.9465077295030845,0.953,0.9310693273906294,0.047
0.9585,0.9550842877766782,0.9585,0.9496512273333931,0.9585,0.9521385658263494,0.9585,0.9390270778543408,0.0415
0.938,0.930427263625759,0.938,0.9317412801963229,0.938,0.9309580124263208,0.938,0.9091409348665068,0.062
0.948,0.9447909201597139,0.948,0.9309813869975697,0.948,0.9375268761348411,0.948,0.9231673946063511,0.052
0.9565,0.954828228858716,0.9565,0.9499804575669067,0.9565,0.9520665069789361,0.9565,0.9359991996221746,0.0435
0.9505,0.9477741921037279,0.9505,0.9372777992886895,0.9505,0.9422194672971894,0.9505,0.9269737016809326,0.0495
0.945,0.9388832583760433,0.945,0.9316525121086312,0.945,0.9348563064418084,0.945,0.9190613470840747,0.055
0.955,0.9503936711756956,0.955,0.9436081858920585,0.955,0.9468972984166597,0.955,0.9337930060402848,0.045
0.951,0.9410589397774624,0.951,0.9458445511186152,0.951,0.9432800448350188,0.951,0.9283100371434476,0.049
