accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.9495,0.9363659646305479,0.9495,0.9501936312951673,0.9495,0.943119755709959,0.9495,0.9263195905995469,0.0505
0.959,0.9550592616470235,0.959,0.9497505655216969,0.959,0.9523463717992934,0.959,0.9397769986324972,0.041
0.957,0.9532520401894394,0.957,0.948327838135345,0.957,0.9499384775446366,0.957,0.936726718651308,0.043
0.9465,0.9438997799319817,0.9465,0.9320755113620537,0.9465,0.9369906447627995,0.9465,0.92107628346006,0.0535
0.948,0.941640696363879,0.948,0.9355939478182872,0.948,0.9384410500102155,0.948,0.9235371704929941,0.052
0.954,0.9485748007996472,0.954,0.9433105342745787,0.954,0.9456910648726145,0.954,0.9324410162339832,0.046
0.9525,0.9484239158267762,0.9525,0.9384819105936867,0.9525,0.9433090416804126,0.9525,0.9300849835423731,0.0475
0.9415,0.9364112638316641,0.9415,0.9297314174444357,0.9415,0.9328348356423968,0.9415,0.9138649144189029,0.0585
0.9445,0.9414646794496733,0.9445,0.9384326039447016,0.9445,0.939723123727595,0.9445,0.9184193641561145,0.0555
0.942,0.9316610709252541,0.942,0.9288089621059642,0.942,0.9301722668597714,0.942,0.9148509800395282,0.058
0.948,0.9454524948205097,0.948,0.9379779306237944,0.948,0.9413590826716848,0.948,0.9235339097700136,0.052
0.9625,0.9581243192140886,0.9625,0.9525095269380172,0.9625,0.9551500781916079,0.9625000000000001,0.9448568539070573,0.0375
0.945,0.9432177790144912,0.945,0.9279331343800443,0.945,0.9349953163453307,0.945,0.9189497956613826,0.055
0.9465,0.9378087444385206,0.9465,0.9406789186753395,0.9465,0.9388825625321201,0.9465,0.9217007762233796,0.0535
0.9475,0.9409785139312862,0.9475,0.9436574847922298,0.9475,0.9418899260789374,0.9475,0.9230649741937942,0.0525
0.9355,0.9314430108521928,0.9355,0.9206925521251706,0.9355,0.9253408040070603,0.9355,0.9049147992375494,0.0645
0.951,0.9398891235282778,0.951,0.9470879759231509,0.951,0.9430381622945659,0.951,0.9281513074812451,0.049
0.9575,0.9495207834210784,0.9575,0.9494704830166358,0.9575,0.9491970550969566,0.9575,0.9376376099503962,0.0425
0.9405,0.9337563548819312,0.9405,0.9308138460600445,0.9405,0.9321817264296158,0.9405,0.9126401611532086,0.0595
0.948,0.9383723936284619,0.948,0.9388227633537722,0.948,0.9383590000004894,0.948,0.923631891028583,0.052
0.959,0.9534515192291112,0.959,0.9532332795326647,0.959,0.9529756555762333,0.959,0.9398335811529427,0.041
0.9445,0.9388998631274895,0.9445,0.9313888281279802,0.9445,0.9349521928349184,0.9445,0.9182641665319744,0.0555
0.947,0.9443864879044983,0.947,0.9332645468839313,0.947,0.9383690410977982,0.9469999999999998,0.921921037124337,0.053
0.9545,0.9453004571847899,0.9545,0.9472340172312032,0.9545,0.9461289184832484,0.9545,0.9333036986763716,0.0455
0.9455,0.9354840648470292,0.9455,0.9405387553151994,0.9455,0.9379148159210233,0.9455,0.920291571967204,0.0545
