accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.9495,0.9367782812554636,0.9495,0.9501338721544125,0.9495,0.9431897853855974,0.9495,0.9262679539357217,0.0505
0.958,0.950693102461173,0.958,0.9490344625708431,0.958,0.9498150212687028,0.958,0.938350433748734,0.042
0.9505,0.9449223599048624,0.9505,0.9428546959990967,0.9505,0.9436996842290446,0.9505,0.9273267817325956,0.0495
0.9435,0.9397889581042277,0.9435,0.9274318875749068,0.9435,0.933119643753059,0.9435,0.9166541586440148,0.0565
0.9535,0.9473300658661515,0.9535,0.9454769751309199,0.9535,0.9462390174832197,0.9535,0.9317295653926155,0.0465
0.956,0.9518596482757996,0.956,0.9441910398696391,0.956,0.9479362555721118,0.956,0.935337598357575,0.044
0.951,0.9466961038214707,0.951,0.9372809778925805,0.951,0.9414805554516149,0.951,0.927932247488016,0.049
0.9475,0.9410449932231933,0.9475,0.9380706453904736,0.9475,0.9392722853595671,0.9475,0.9227985453775446,0.0525
0.9485,0.9443555861651366,0.9485,0.943626477886668,0.9485,0.9437575346080963,0.9485,0.9243777222643366,0.0515
0.9535,0.9452186826419382,0.9535,0.9433483301309503,0.9535,0.9442103088708133,0.9535,0.9317921538240949,0.0465
0.955,0.9478292687785516,0.955,0.944402762148523,0.955,0.9460113422788522,0.955,0.9338842246658123,0.045
0.956,0.9516655707787244,0.956,0.9481154804158661,0.956,0.9498388776990461,0.956,0.9353484534688861,0.044
0.9455,0.9421223506030606,0.9455,0.9327871871128043,0.9455,0.9363694385929744,0.9455,0.9197599275925366,0.0545
0.944,0.9316077090458638,0.944,0.9410178648035585,0.944,0.9360514317683292,0.944,0.9181577903187973,0.056
0.9485,0.9409216546781959,0.9485,0.940490491708254,0.9485,0.9403384849089697,0.9485,0.9244033090800066,0.0515
0.936,0.9283658382736678,0.936,0.9229092024297313,0.936,0.9254933801796662,0.936,0.9057976400836929,0.064
0.9555,0.9470009107306269,0.9555,0.9469294439574333,0.9555,0.9467100224834711,0.9555,0.934630081547137,0.0445
0.96,0.9536946490786415,0.96,0.9510296951676226,0.96,0.9522843490088556,0.96,0.9412101882743721,0.04
0.9445,0.9334546801453807,0.9445,0.9379362107961425,0.9445,0.9356260718800774,0.9445,0.9187792893041471,0.0555
0.9525,0.9476058437797702,0.9525,0.9383421111329704,0.9525,0.9427551850660877,0.9525,0.9300812529439473,0.0475
0.953,0.9480329746859198,0.953,0.9489975946928221,0.953,0.948042662144143,0.953,0.9311232190955746,0.047
0.9455,0.9394854758264396,0.9455,0.9307740324343438,0.9455,0.9350153887200086,0.9455,0.9196928287537984,0.0545
0.9435,0.9359739250106597,0.9435,0.9335265149179272,0.9435,0.9338162593049013,0.9435,0.916942544821625,0.0565
0.9565,0.9501799159677229,0.9565,0.9467125134919055,0.9565,0.9483605028866214,0.9565,0.9360804768837249,0.0435
0.95,0.9398470866031521,0.95,0.9466687697032118,0.95,0.943111304849343,0.9500000000000001,0.9269287610223397,0.05
