accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.7795,0.7040741829975691,0.7795,0.7426248588821974,0.7795,0.7206150465002809,0.7795,0.6838615629067102,0.2205
0.8475,0.8248034640794928,0.8475,0.8037377700534775,0.8475,0.8136245731476318,0.8475,0.7738564737477024,0.1525
0.757,0.7077306740697793,0.757,0.6965165487682871,0.757,0.7004892773998961,0.757,0.6412786423503778,0.243
0.803,0.7427296387381327,0.803,0.7482614526595852,0.803,0.7427015721594662,0.803,0.7139404306358182,0.197
0.7795,0.6989436363080173,0.7795,0.7139858371540754,0.7795,0.7050635546015459,0.7795,0.678901303653426,0.2205
0.856,0.8089587443446132,0.856,0.8437797332291489,0.856,0.8241926526447662,0.856,0.792255756246754,0.144
0.8825,0.8553641414022245,0.8825,0.8621808775620331,0.8825,0.8579914361213263,0.8825,0.828250774333211,0.1175
0.7905,0.7325017654011082,0.7905,0.7559929194072071,0.7905,0.7430349161396336,0.7905,0.695734436435184,0.2095
0.8285,0.7933093748611201,0.8285,0.7806536423036009,0.8285,0.786020207592677,0.8285,0.7476414964197098,0.1715
0.8825,0.8448139717190434,0.8825,0.8473877102932458,0.8825,0.845880299458444,0.8825,0.8279478572186856,0.1175
0.8365,0.7855025757914808,0.8365,0.7872929813671626,0.8365,0.7845399775292193,0.8365,0.7611526902643426,0.1635
0.839,0.8018817668392172,0.839,0.78944728967917,0.839,0.7947252807383198,0.839,0.7631276565380445,0.161
0.858,0.8017379374996801,0.858,0.8347533691976774,0.858,0.8167881835687831,0.858,0.7952317846415187,0.142
0.752,0.7138576854934353,0.752,0.7032623940815504,0.752,0.7046504001668,0.752,0.6350657654164481,0.248
0.78,0.7172130202344092,0.78,0.7191587964119615,0.78,0.7176748830345175,0.78,0.676981005749004,0.22
0.81,0.7616137392965893,0.81,0.7513010859833374,0.81,0.7540736519200978,0.81,0.7212178524750903,0.19
0.8465,0.8082001824030475,0.8465,0.8072670160246784,0.8465,0.8072339867739272,0.8465,0.7736961173772633,0.1535
0.7515,0.691473260349555,0.7515,0.6881493120758221,0.7515,0.6881326420993105,0.7515,0.6366346815015249,0.2485
0.8095,0.7879103714563668,0.8095,0.7515357208195143,0.8095,0.7686059088268316,0.8095,0.7147225620759212,0.1905
0.7945,0.7622874464038808,0.7945,0.7640082309065755,0.7945,0.7607346490288719,0.7945,0.6987046499182618,0.2055
0.8635,0.8379204417851761,0.8635,0.8233232353811794,0.8635,0.8298532000394999,0.8635,0.7983914145759314,0.1365
0.82,0.7815846341157076,0.82,0.790647112003744,0.82,0.7848836813462347,0.82,0.7373220493695911,0.18
0.8085,0.7561188625161978,0.8085,0.7534048863252284,0.8085,0.7536272478896353,0.8085,0.7183753123239845,0.1915
0.8125,0.8037592126077674,0.8125,0.7748211336106873,0.8125,0.7873908117816016,0.8125,0.7200850195100741,0.1875
0.7925,0.7592640317392926,0.7925,0.7653422551001016,0.7925,0.7604918851309357,0.7925,0.6950905911568925,0.2075
