accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.9495,0.9384082089951903,0.9495,0.9458548719038902,0.9495,0.9419358554697168,0.9495,0.9261097708854208,0.0505
0.9515,0.9471650101325074,0.9515,0.9400090809440683,0.9515,0.9433987670191541,0.9514999999999999,0.928651656053907,0.0485
0.9535,0.9521427080145357,0.9535,0.944380880373111,0.9535,0.9472240766543131,0.9535,0.9315513626062886,0.0465
0.9445,0.9381087050169513,0.9445,0.9333015280651212,0.9445,0.9353650851673296,0.9445,0.9183771314782636,0.0555
0.9515,0.9435077507239349,0.9515,0.942063310303434,0.9515,0.9426285619382178,0.9514999999999999,0.928807835835273,0.0485
0.95,0.9485760740676471,0.95,0.9387868142562569,0.95,0.9433747920621771,0.9500000000000001,0.9264153456381592,0.05
0.9435,0.9387566944452962,0.9435,0.9300699828458393,0.9435,0.9342126261374374,0.9435,0.9168423953658401,0.0565
0.946,0.9431461361729013,0.946,0.9362665538425897,0.946,0.9393815472261116,0.946,0.9205171097960454,0.054
0.9425,0.9397250919367753,0.9425,0.9344962925798695,0.9425,0.936992192164019,0.9425,0.9154244790239838,0.0575
0.95,0.9442623822501169,0.95,0.941096869616996,0.95,0.9425852219072189,0.9500000000000001,0.9265148954306962,0.05
0.9495,0.944582293992639,0.9495,0.9422011562511173,0.9495,0.9432351945956537,0.9495,0.9259526991707435,0.0505
0.956,0.9497149743847041,0.956,0.9444595842219344,0.956,0.947023161449319,0.956,0.9353192052347343,0.044
0.9425,0.9419542902787671,0.9425,0.924018447822661,0.9425,0.9323394692206476,0.9425,0.9152305930578278,0.0575
0.9415,0.9350326803928449,0.9415,0.9366820264800344,0.9415,0.9354593089006805,0.9415,0.914393083546497,0.0585
0.948,0.943159379443861,0.948,0.9401460943719133,0.948,0.9412531462786649,0.948,0.9236250208837834,0.052
0.944,0.9431592505768505,0.944,0.9293354814524379,0.944,0.9358279163114464,0.944,0.9173528105209872,0.056
0.9575,0.9522423278536499,0.9575,0.9530258075189323,0.9575,0.9523377538906299,0.9575,0.9375566810861758,0.0425
0.9575,0.9491088805804221,0.9575,0.9473063843967257,0.9575,0.9480283073681188,0.9575,0.9376225991121862,0.0425
0.939,0.9324061686488792,0.939,0.9303220429151189,0.939,0.9311371036040331,0.939,0.9104523404602015,0.061
0.956,0.9497644411386702,0.956,0.9446884685292347,0.956,0.9470711470285059,0.956,0.9352578906285061,0.044
0.948,0.9432418502688908,0.948,0.9365432048530841,0.948,0.939838172207685,0.948,0.9234752254721542,0.052
0.942,0.9373514968277838,0.942,0.9290681426120214,0.942,0.9329207458057635,0.942,0.9145402097522145,0.058
0.9475,0.9420532173107187,0.9475,0.9354156123740364,0.9475,0.9380022773984361,0.9475,0.9227702104842749,0.0525
0.952,0.9459219491782219,0.952,0.9406288371672842,0.952,0.9431159063815255,0.952,0.929439003325922,0.048
0.9455,0.9373929736763071,0.9455,0.9379140046786342,0.9455,0.9373696558051107,0.9455,0.9201297269096139,0.0545
