accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.9485,0.9358426773652239,0.9485,0.9454132707740692,0.9485,0.9405173544552244,0.9485,0.924662306101439,0.0515
0.9575,0.9558345553994636,0.9575,0.9439688262741566,0.9575,0.9497691341392301,0.9575,0.937339732543863,0.0425
0.9545,0.9522501054203367,0.9545,0.9485510188768829,0.9545,0.9496774332667912,0.9545,0.9331333948359142,0.0455
0.944,0.9405816847297066,0.944,0.9281334660949474,0.944,0.933892827183635,0.944,0.9173713464486647,0.056
0.951,0.9450635267818867,0.951,0.9384698312680179,0.951,0.9415807897046413,0.951,0.9279174051148485,0.049
0.9505,0.9469935073275683,0.9505,0.9378811109723916,0.9505,0.9416209839861526,0.9505,0.9271495839799728,0.0495
0.9495,0.9452809953366111,0.9495,0.9338634478002393,0.9495,0.9394275142216442,0.9495,0.9255761035921688,0.0505
0.9485,0.9468853123277903,0.9485,0.9358810194049901,0.9485,0.9411778336832914,0.9485,0.9239856886453807,0.0515
0.941,0.9430906807929639,0.941,0.9281802627094732,0.941,0.9354362140043757,0.941,0.912750868979163,0.059
0.9475,0.9395088129187771,0.9475,0.9343425056894015,0.9475,0.9367517672471051,0.9475,0.9227108613322439,0.0525
0.952,0.951143831533375,0.952,0.9378392445986029,0.952,0.9442861007457518,0.952,0.9292229565340482,0.048
0.955,0.9502870992147087,0.955,0.9427101394707721,0.955,0.9463571551426538,0.955,0.9337347534711945,0.045
0.949,0.9511887494622453,0.949,0.9283925108600375,0.949,0.9391832802012527,0.949,0.92466069614994,0.051
0.955,0.950297777824459,0.955,0.9460092753735783,0.955,0.9479020442944002,0.955,0.933881577497403,0.045
0.9455,0.9413382779302369,0.9455,0.9395780971076394,0.9455,0.9400782559586052,0.9455,0.9200233619830684,0.0545
0.9425,0.9404728415481934,0.9425,0.9314895628716228,0.9425,0.9356192884921138,0.9425,0.9151716593677411,0.0575
0.9525,0.9464875046689268,0.9525,0.9440240266256072,0.9525,0.9449474607736926,0.9525,0.930125145863758,0.0475
0.958,0.9537797933745013,0.958,0.9465114827049209,0.958,0.9499164948415976,0.958,0.9381605411247125,0.042
0.9335,0.9245845561975451,0.9335,0.9255140939731539,0.9335,0.9249806285110602,0.9335,0.9026257016165964,0.0665
0.9515,0.9461206325959285,0.9515,0.938828125810546,0.9515,0.9422231018698525,0.9514999999999999,0.928486802866131,0.0485
0.959,0.9606962547767669,0.959,0.9481713353063199,0.959,0.9542762836855229,0.959,0.9395490655170177,0.041
0.9435,0.941539970852881,0.9435,0.9287948038928356,0.9435,0.9348614816748434,0.9435,0.9165835270182634,0.0565
0.9455,0.941904797388156,0.9455,0.9344137078528294,0.9455,0.9372921875102721,0.9455,0.9198253811512414,0.0545
0.9585,0.955915200149902,0.9585,0.9476457807099439,0.9585,0.95164910281939,0.9585,0.9389125776426658,0.0415
0.9475,0.9386127257726312,0.9475,0.9404406897009605,0.9475,0.9394392507723545,0.9475,0.9229576909319368,0.0525
