accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.9055,0.886287119122764,0.9055,0.8925033148033571,0.9055,0.8880276749259185,0.9055,0.8618799671142778,0.0945
0.903,0.8941396566396566,0.903,0.8815292114408226,0.903,0.887159325345916,0.903,0.8567147952314094,0.097
0.8985,0.8852587956906333,0.8985,0.8827247786417919,0.8985,0.8829070983187489,0.8985,0.850891638620094,0.1015
0.904,0.893986152938238,0.904,0.8760235898071845,0.904,0.8843609025286163,0.904,0.8583218219813693,0.096
0.899,0.8902053467669582,0.899,0.8811566306274657,0.899,0.885514853837785,0.899,0.8513271079626478,0.101
0.905,0.8923909629267547,0.905,0.8845798513570683,0.905,0.8873160955023159,0.905,0.8601563305021124,0.095
0.901,0.8906548373104325,0.901,0.8803618601393955,0.901,0.8849607666725205,0.901,0.8542743968947198,0.099
0.905,0.8895711792260482,0.905,0.8889589507946701,0.905,0.8878386491809448,0.905,0.8599393316157472,0.095
0.8915,0.8849276577182486,0.8915,0.8752396923322405,0.8915,0.8796495804383083,0.8915,0.8399654266322605,0.1085
0.9005,0.8904026168090294,0.9005,0.8784375078834125,0.9005,0.8833395367538003,0.9005,0.8535201895551798,0.0995
0.9015,0.8916781659306406,0.9015,0.8716600873679902,0.9015,0.88073480059716,0.9015,0.8540492083836506,0.0985
0.907,0.8929666608964028,0.907,0.8822296206647917,0.907,0.8874006839483527,0.907,0.8629591467217581,0.093
0.906,0.8989757448464059,0.906,0.8771753386785436,0.906,0.88686616703749,0.906,0.8610310314749929,0.094
0.89,0.8785079938452033,0.89,0.8783876300175529,0.89,0.8760103356027167,0.89,0.8391816392215514,0.11
0.8965,0.8870283110098253,0.8965,0.876941265992019,0.8965,0.8810782208137832,0.8965,0.8475499734133045,0.1035
0.8955,0.8886992977999449,0.8955,0.8658201369971223,0.8955,0.8761336441540127,0.8955,0.8451283989314601,0.1045
0.909,0.8963325371946063,0.909,0.8908929801819935,0.909,0.8928253228262847,0.909,0.8658655449488613,0.091
0.9105,0.8990671675377343,0.9105,0.8914908124216542,0.9105,0.8947149475433918,0.9105,0.868157736378816,0.0895
0.898,0.8860624684884048,0.898,0.873872883041923,0.898,0.879128612033894,0.898,0.8496371390369997,0.102
0.909,0.8938704591648298,0.909,0.896390351216413,0.909,0.8943612980576678,0.909,0.8665523318330247,0.091
0.9025,0.8935987275994982,0.9025,0.8825533118009007,0.9025,0.8875959445317565,0.9025,0.8560857463264042,0.0975
0.8845,0.8677780694910288,0.8845,0.8612780811494597,0.8845,0.8639519422083288,0.8845,0.8297041644335305,0.1155
0.882,0.863836036295233,0.882,0.8580703539319169,0.882,0.8597588768466092,0.882,0.826226410787511,0.118
0.9115,0.9048077242819432,0.9115,0.8917734511272393,0.9115,0.8978646330671697,0.9115,0.8693352782937107,0.0885
0.9015,0.8838927952221441,0.9015,0.8924868778512138,0.9015,0.8863780869480479,0.9015,0.856037456569168,0.0985
