accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.9515,0.9425410965145439,0.9515,0.9479252652786313,0.9515,0.9451225546379572,0.9514999999999999,0.9289509237661724,0.0485
0.955,0.9562125087905023,0.955,0.9393532690993429,0.955,0.9475817889423709,0.955,0.9335394840079383,0.045
0.9555,0.9550274225730191,0.9555,0.946344215993133,0.9555,0.9501095221111058,0.9555,0.9344712993494619,0.0445
0.9515,0.951378953571936,0.9515,0.938966440275674,0.9515,0.9445584417202616,0.9514999999999999,0.9284080005904495,0.0485
0.9505,0.9458873354169568,0.9505,0.93665297467611,0.9505,0.9411355393095019,0.9505,0.9271323449584231,0.0495
0.952,0.9486032529265541,0.952,0.9428196745792033,0.952,0.9453147486039147,0.952,0.9294939612679483,0.048
0.951,0.9469414084505634,0.951,0.9366158337176924,0.951,0.9415632689942743,0.951,0.9278470593259148,0.049
0.9495,0.949401713197019,0.9495,0.93756805803532,0.9495,0.9432239190350428,0.9495,0.9254608970448935,0.0505
0.9465,0.946710825281955,0.9465,0.9340654550182613,0.9465,0.9402485086942215,0.9465,0.9210712184722855,0.0535
0.9515,0.9466845107723526,0.9515,0.9419618367437644,0.9515,0.9442271011141031,0.9514999999999999,0.9286922264602564,0.0485
0.9505,0.9443111603001312,0.9505,0.9398314406709886,0.9505,0.9418236151486399,0.9505,0.9272762532725686,0.0495
0.9555,0.9521562811160229,0.9555,0.9425128723591197,0.9555,0.9469836240219621,0.9555,0.9344710822358466,0.0445
0.946,0.9454367344170397,0.946,0.9281137275052496,0.946,0.93631013517553,0.946,0.9203396187586921,0.054
0.9455,0.9401831947076368,0.9455,0.9362027538744683,0.9455,0.937881549633253,0.9455,0.9199931590480948,0.0545
0.943,0.9382203712811686,0.943,0.9325811494247821,0.943,0.935081541941679,0.943,0.9162434758075892,0.057
0.941,0.9400102491388705,0.941,0.9294785403164104,0.941,0.9344740286647354,0.941,0.9129870512933959,0.059
0.957,0.9522941513594395,0.957,0.9502034452332458,0.957,0.9510005932100053,0.957,0.936838711406892,0.043
0.959,0.957531581646515,0.959,0.9464260803349474,0.959,0.9517649304584782,0.959,0.9395547915543301,0.041
0.94,0.9346835073878802,0.94,0.9315288187050951,0.94,0.932996781349142,0.94,0.9120289424779248,0.06
0.9525,0.9442432827270691,0.9525,0.941290652920877,0.9525,0.9424487018030413,0.9525,0.9300899484799715,0.0475
0.957,0.9558458608134218,0.957,0.9458775451179818,0.957,0.9506702780572883,0.957,0.936622152326446,0.043
0.944,0.9421983157007986,0.944,0.9286955825956601,0.944,0.9349584710915018,0.944,0.9172557882161899,0.056
0.9485,0.9476964973510129,0.9485,0.9344073048565811,0.9485,0.9402433914013565,0.9485,0.9240119338151321,0.0515
0.956,0.9530664862861545,0.956,0.9413211455963787,0.956,0.9469789969537321,0.956,0.9351650197599337,0.044
0.944,0.933730416949177,0.944,0.9391106780601194,0.944,0.9361707319018121,0.944,0.9181180306655286,0.056
