accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.8255,0.7639120162740823,0.8255,0.8125460865884672,0.8255,0.7832191459848175,0.8255,0.752033379575437,0.1745
0.8385,0.7755309160431233,0.8385,0.8013347752405761,0.8385,0.7852373508777121,0.8385,0.767514841622185,0.1615
0.8305,0.7788412216366809,0.8305,0.8081933712201043,0.8305,0.7885266197396318,0.8305,0.7568227711444035,0.1695
0.84,0.7811696310767546,0.84,0.7954376898535455,0.84,0.7849364587036088,0.8399999999999999,0.7691745610169015,0.16
0.8195,0.7582844967003023,0.8195,0.7800946299910031,0.8195,0.7657742122103305,0.8195,0.7409414732249378,0.1805
0.834,0.7791390861861428,0.834,0.8071739812863724,0.834,0.7891918848042231,0.834,0.761411638225305,0.166
0.8185,0.7695031576516146,0.8185,0.8095919554628646,0.8185,0.7806959625265808,0.8184999999999999,0.7418918121399017,0.1815
0.848,0.7948193398132819,0.848,0.8193658126466202,0.848,0.8024771979473653,0.848,0.7811692544242143,0.152
0.836,0.777256025659618,0.836,0.8031237124354601,0.836,0.786440350205178,0.836,0.764161287794412,0.164
0.837,0.7748623552557027,0.837,0.7997634110862082,0.837,0.7840659552642641,0.8370000000000001,0.7656131480958225,0.163
0.8525,0.791648683416038,0.8525,0.8278896865004173,0.8525,0.8061219335909402,0.8525,0.7882626447574728,0.1475
0.8525,0.7960867507607202,0.8525,0.8183289947294333,0.8525,0.8038047364675797,0.8525,0.787489775196599,0.1475
0.8355,0.7863690982935712,0.8355,0.801327018039523,0.8355,0.790407314559313,0.8355,0.7619370652773632,0.1645
0.8295,0.778753187495492,0.8295,0.810008215540461,0.8295,0.7879877969392264,0.8295,0.7557793806894542,0.1705
0.829,0.7717295623244321,0.829,0.8089040627587586,0.829,0.7857617662931958,0.8289999999999998,0.7558439500165448,0.171
0.8175,0.7605738086366741,0.8175,0.7819405974012197,0.8175,0.7666214884829158,0.8175,0.7373209689473803,0.1825
0.834,0.7781308197973164,0.834,0.7995714653597993,0.834,0.7853243525023886,0.834,0.7590015113218477,0.166
0.8315,0.7761091571494191,0.8315,0.7921419819203002,0.8315,0.7814213265251803,0.8315,0.7565566271318,0.1685
0.825,0.7648196612484152,0.825,0.8038111185625576,0.825,0.7803111907617666,0.825,0.7497554753501994,0.175
0.8425,0.7935481679203921,0.8425,0.8273201031148618,0.8425,0.8056889391255897,0.8425,0.774018351862035,0.1575
0.8445,0.7812856831558167,0.8445,0.8137944420250988,0.8445,0.7936068056003692,0.8445,0.77764519107678,0.1555
0.827,0.7883235323443815,0.827,0.7933432579104038,0.827,0.7896115826781482,0.827,0.7470975607705923,0.173
0.834,0.7798272623157079,0.834,0.7992547658473174,0.834,0.7855272159785134,0.834,0.759835791339259,0.166
0.837,0.7821034649880497,0.837,0.8121941247168017,0.837,0.7918868176432193,0.8370000000000001,0.7665537388280568,0.163
0.825,0.7699036785701058,0.825,0.8134665911249764,0.825,0.7852429432091815,0.825,0.7500615919648372,0.175
