accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.933,0.9113671983472403,0.933,0.9411263817665159,0.933,0.9249554761963639,0.933,0.9027312908356181,0.067
0.945,0.928751435507093,0.945,0.9448252475899378,0.945,0.9364310579496354,0.945,0.9197174638600866,0.055
0.941,0.933803815713329,0.941,0.9386561832945498,0.941,0.9355915971467205,0.941,0.9135494718641994,0.059
0.9285,0.9167138570894999,0.9285,0.9203272716963019,0.9285,0.9167324029356081,0.9285,0.8951289986652782,0.0715
0.938,0.922163929752165,0.938,0.940193270346807,0.938,0.9306275362532105,0.938,0.9098106059090781,0.062
0.941,0.9326646287573926,0.941,0.9346970096960949,0.941,0.9330708133780008,0.941,0.9135108510898732,0.059
0.9335,0.9194413958341419,0.9335,0.9333256986987882,0.9335,0.9260264014257569,0.9335,0.903068607383767,0.0665
0.938,0.9262823078002057,0.938,0.931934315672215,0.938,0.9282221804580315,0.938,0.9090450648695731,0.062
0.9285,0.910169570345866,0.9285,0.9326501558716567,0.9285,0.9206487377122606,0.9285,0.8960632691227232,0.0715
0.9335,0.9167255169873583,0.9335,0.932242501169373,0.9335,0.9233373836723415,0.9335,0.9028999336361201,0.0665
0.941,0.9264777206031112,0.941,0.9368349667765212,0.941,0.9315088387406276,0.941,0.9136622217344381,0.059
0.945,0.9314342450043717,0.945,0.9481410508142362,0.945,0.9392833733120775,0.945,0.9198699562235002,0.055
0.937,0.9246269012676326,0.937,0.9243987821186277,0.937,0.9231728640813758,0.937,0.9075350495366296,0.063
0.9335,0.9141286427200296,0.9335,0.937045830183138,0.9335,0.923938196997408,0.9335,0.9034195646546106,0.0665
0.929,0.9139422975569601,0.929,0.9283703520823826,0.929,0.92027622380284,0.929,0.8963714688760465,0.071
0.938,0.9186125057755975,0.938,0.9343034420171641,0.938,0.9255106570560875,0.938,0.9093904718966145,0.062
0.9355,0.9201500361574583,0.9355,0.936677406498368,0.9355,0.927417192765302,0.9355,0.9058072736499498,0.0645
0.948,0.9337641606589737,0.948,0.946443816861696,0.948,0.9393817802430376,0.948,0.9239883877644692,0.052
0.923,0.9051052079306262,0.923,0.9244116769753682,0.923,0.9141358314058506,0.923,0.8879920983516656,0.077
0.935,0.9196938739387295,0.935,0.930047509937653,0.935,0.9240511044911232,0.935,0.9049795815739328,0.065
0.945,0.9309001569132794,0.945,0.9458899507736894,0.945,0.9378773846852374,0.945,0.9197202469551167,0.055
0.935,0.9178898257146799,0.935,0.9308252801267746,0.935,0.922638570997314,0.935,0.9051174190186294,0.065
0.928,0.9151656984188827,0.928,0.9269415386184244,0.928,0.9195730118976372,0.928,0.8947819904763088,0.072
0.9475,0.9308357853205145,0.9475,0.9485589982016287,0.9475,0.9390873570440181,0.9475,0.9234825775294565,0.0525
0.93,0.9106290703274794,0.93,0.9364847429839149,0.93,0.9220205795705981,0.93,0.8981847430564722,0.07
