accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.949,0.9431702610265829,0.949,0.9434907371423601,0.949,0.9430300397423267,0.949,0.9250699989458377,0.051
0.9485,0.9451785581740353,0.9485,0.9352050361963595,0.9485,0.9400153866805958,0.9485,0.9240600869032772,0.0515
0.9465,0.9485869804153771,0.9465,0.9347721483842153,0.9465,0.9405910236743198,0.9465,0.9209124193740921,0.0535
0.942,0.9421237286228431,0.942,0.9256966165687226,0.942,0.9331147870932739,0.942,0.914285503166264,0.058
0.949,0.9434900731887096,0.949,0.9359540756966496,0.949,0.9393130795457875,0.949,0.924880609881072,0.051
0.948,0.949720868939052,0.948,0.9339754146390771,0.948,0.941175089521486,0.948,0.9232278269599511,0.052
0.9465,0.9467390500615959,0.9465,0.9333261822446176,0.9465,0.9398453285346805,0.9465,0.9209746265774148,0.0535
0.9475,0.9490778075653187,0.9475,0.9331936076356868,0.9475,0.940588694400332,0.9475,0.9222662425611571,0.0525
0.9445,0.9433400884475288,0.9445,0.9318778993778234,0.9445,0.9373053033592504,0.9445,0.9181057188768531,0.0555
0.9535,0.9520151116232533,0.9535,0.9406777490807997,0.9535,0.9460680498980264,0.9535,0.931460560711572,0.0465
0.946,0.9442537344825744,0.946,0.9322750308318589,0.946,0.9379525547321822,0.946,0.9203064071066024,0.054
0.9475,0.9427069212370075,0.9475,0.9329796378017515,0.9475,0.9373389243648576,0.9475,0.9225810162015814,0.0525
0.9405,0.9357568855087074,0.9405,0.9163941988801949,0.9405,0.9252349274314856,0.9405,0.9119551903710053,0.0595
0.9375,0.9333706595593526,0.9375,0.9264612038217365,0.9375,0.9295013622207264,0.9375,0.9081196164986297,0.0625
0.947,0.945767892908982,0.947,0.9350095641108648,0.947,0.9398602019372007,0.9469999999999998,0.921791015263295,0.053
0.938,0.9440582289287648,0.938,0.9192327872622501,0.938,0.9306174304172137,0.938,0.9078838772270372,0.062
0.947,0.9403141530110304,0.947,0.9388602008702964,0.947,0.9390329570280654,0.9469999999999998,0.9219327679105379,0.053
0.95,0.945100840829873,0.95,0.9388018149813241,0.95,0.9417061816575534,0.9500000000000001,0.9264440053151561,0.05
0.936,0.9314323446210325,0.936,0.9258808237517583,0.936,0.9285060220365947,0.936,0.9059070869238417,0.064
0.9445,0.9364988274914179,0.9445,0.9294801041937396,0.9445,0.9325788089803112,0.9445,0.9181442188248385,0.0555
0.956,0.9573697623260168,0.956,0.9453852906788444,0.956,0.9509394538993398,0.956,0.9350190715332951,0.044
0.9335,0.9298799816118531,0.9335,0.9154682382159587,0.9335,0.9222544615106463,0.9335,0.9016478787000364,0.0665
0.942,0.9397712812206701,0.942,0.9298666306489608,0.942,0.933580508660341,0.942,0.9144672081285646,0.058
0.9535,0.9492850977837186,0.9535,0.9434346766915906,0.9535,0.9461614242817272,0.9535,0.9316311700112258,0.0465
0.9385,0.9290771480461054,0.9385,0.9322187494955744,0.9385,0.9301765965214434,0.9385,0.9098383247227712,0.0615
