accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.8935,0.8628161759733781,0.8935,0.8961064708154486,0.8935,0.8757159529173716,0.8935,0.8472704979304436,0.1065
0.897,0.8829801062597463,0.897,0.8774706130185176,0.897,0.8786626531283573,0.897,0.8479219381832208,0.103
0.8525,0.8195351357582022,0.8525,0.8244787486857398,0.8525,0.8200307255709088,0.8525,0.7832652884298195,0.1475
0.824,0.7765310612569846,0.824,0.7578581216408615,0.824,0.7605440133703048,0.824,0.7426179990450543,0.176
0.8395,0.7913965954837984,0.8395,0.772936666493381,0.8395,0.7791631287125195,0.8395000000000001,0.7629197649582119,0.1605
0.8815,0.8322098706490612,0.8815,0.8818124453719816,0.8815,0.8545817080830783,0.8815,0.8298562141428253,0.1185
0.903,0.8772193432752732,0.903,0.889900998907097,0.903,0.8807065987985875,0.903,0.8582443859479267,0.097
0.857,0.814263415017653,0.857,0.8241381227354099,0.857,0.8163357261709753,0.857,0.7906656648872028,0.143
0.868,0.8271285718302206,0.868,0.8388194551836875,0.868,0.830650147472383,0.868,0.8091429905775196,0.132
0.8975,0.8566911815343677,0.8975,0.8715374053817412,0.8975,0.862489574383062,0.8975,0.8504231019694899,0.1025
0.8705,0.820659561376778,0.8705,0.8362374627262991,0.8705,0.8278116624206371,0.8705,0.8123180245711213,0.1295
0.897,0.8792484324241872,0.897,0.8884437619887716,0.897,0.8805515094051671,0.897,0.8500824910176852,0.103
0.868,0.8149184385602958,0.868,0.8371343786215414,0.868,0.8247872137837761,0.868,0.8088916766895985,0.132
0.848,0.8090540840555834,0.848,0.8291823091409428,0.848,0.8145498651132792,0.848,0.7792928004077275,0.152
0.8385,0.8010997191332366,0.8385,0.8019353675643314,0.8385,0.7966901770284589,0.8385,0.7654999624291735,0.1615
0.838,0.7954878937200652,0.838,0.7850372820587598,0.838,0.7870675246002518,0.838,0.7620080351669856,0.162
0.8815,0.8477237628431095,0.8815,0.8580308527138314,0.8815,0.8522425850998404,0.8815,0.8263874899367011,0.1185
0.848,0.8062852608287328,0.848,0.7898882054837092,0.848,0.7947153349238524,0.848,0.776707098106748,0.152
0.8545,0.8148490405596055,0.8545,0.8056486766122721,0.8545,0.8081744308504901,0.8545,0.7860585927434163,0.1455
0.893,0.8727260590547358,0.893,0.8887978696536557,0.893,0.8778501524803781,0.893,0.8438983968219465,0.107
0.941,0.9461646655775987,0.941,0.9306109735378573,0.941,0.9374541814761136,0.941,0.9127841444531085,0.059
0.858,0.8265962822820274,0.858,0.827798536978905,0.858,0.8237492173738307,0.858,0.7919198979528288,0.142
0.885,0.8546078822278513,0.885,0.8646605868997704,0.885,0.8567445093679992,0.885,0.8320255671693241,0.115
0.8835,0.8681927485440543,0.8835,0.8578546684526684,0.8835,0.8617977540522758,0.8835000000000001,0.8293335364728149,0.1165
0.881,0.8474080452571924,0.881,0.8713095212340733,0.881,0.8571117325658323,0.881,0.8284160348820109,0.119
