accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.957,0.9439729391808874,0.957,0.959754579474672,0.957,0.9515304480455514,0.957,0.9372791322932609,0.043
0.9515,0.9432052528864391,0.9515,0.946324877233543,0.9515,0.9446857237013954,0.9514999999999999,0.9289351518608184,0.0485
0.9445,0.9376128363283845,0.9445,0.937463205729693,0.9445,0.9361505671018989,0.9445,0.9185544067569025,0.0555
0.943,0.9343109186324563,0.943,0.9354701916618905,0.943,0.9339215682367362,0.943,0.9163008807129697,0.057
0.9465,0.9354370143328373,0.9465,0.9398375418194852,0.9465,0.9372692170723024,0.9465,0.9216403673675337,0.0535
0.945,0.9403749336130317,0.945,0.9343362066591981,0.945,0.937160982752464,0.945,0.9191131269100332,0.055
0.951,0.9464938487345759,0.951,0.9402547902440433,0.951,0.9432487889054376,0.951,0.9278830321652715,0.049
0.9485,0.9406948010375097,0.9485,0.9410608801609442,0.9485,0.9404932481222007,0.9485,0.9243118718298707,0.0515
0.939,0.9312841038706918,0.939,0.9328586023414062,0.939,0.9317904080415529,0.939,0.9104322890129785,0.061
0.9395,0.926229613432601,0.9395,0.9324480375619594,0.9395,0.9290912994027535,0.9395,0.9113392679847562,0.0605
0.945,0.9363338447209267,0.945,0.9430791065878914,0.945,0.9395380836299284,0.945,0.919517367603326,0.055
0.9535,0.9476266030138777,0.9535,0.9447727942447989,0.9535,0.9459693921443266,0.9535,0.9315812241222533,0.0465
0.9405,0.9300534924729233,0.9405,0.9246618068660242,0.9405,0.9266703558067785,0.9405,0.9125027664566487,0.0595
0.9435,0.9243976309504142,0.9435,0.9465160240194034,0.9435,0.9344203549080033,0.9435,0.9178498469680778,0.0565
0.9435,0.9354895267231932,0.9435,0.9371678218202589,0.9435,0.9355762492819526,0.9435,0.9171729136370034,0.0565
0.936,0.9232655954190648,0.936,0.9329289290026117,0.936,0.9271771020537134,0.936,0.9062108219522363,0.064
0.9475,0.9351659616699819,0.9475,0.9445536390066871,0.9475,0.9391464343826531,0.9475,0.9230013064111678,0.0525
0.9505,0.938623693055817,0.9505,0.9416607819244941,0.9505,0.9397854083673071,0.9505,0.9274096690320849,0.0495
0.9365,0.9229031812813031,0.9365,0.9349926089818837,0.9365,0.9287120715611744,0.9365,0.9073735740453461,0.0635
0.9435,0.9315945694889627,0.9435,0.928728260000753,0.9435,0.9299421287463079,0.9435,0.9168700774947437,0.0565
0.953,0.9445630829623034,0.953,0.9512444557452063,0.953,0.9476978856672099,0.953,0.9312419424151268,0.047
0.944,0.9324886715857678,0.944,0.9340442906437727,0.944,0.9323760654035159,0.944,0.9177551865635474,0.056
0.944,0.9338756747369837,0.944,0.9377686349593825,0.944,0.9345498494636075,0.944,0.9178378140456991,0.056
0.9505,0.9385521126740913,0.9505,0.9464257326459524,0.9505,0.9423743912424518,0.9505,0.9275926229316358,0.0495
0.942,0.9272191359401899,0.942,0.9433178434610309,0.942,0.9343574052504907,0.942,0.9154239393268839,0.058
