accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.953,0.9453662622662975,0.953,0.9511382484378296,0.953,0.9477954056355401,0.953,0.9310765296152788,0.047
0.9515,0.9489632199713293,0.9515,0.9437729159453879,0.9515,0.9460686408591612,0.9514999999999999,0.9286672130611068,0.0485
0.948,0.9455681378417945,0.948,0.9411151175199842,0.948,0.9415919097175354,0.948,0.9235522898661944,0.052
0.9415,0.9419536125158903,0.9415,0.9267568984266793,0.9415,0.9330249216402132,0.9415,0.9135781951138441,0.0585
0.9455,0.9426898578067466,0.9455,0.9334773030631949,0.9455,0.9378024721439621,0.9455,0.9197623493289666,0.0545
0.9465,0.950594970395997,0.9465,0.9347473136934736,0.9465,0.9420904769900852,0.9465,0.9209434768024518,0.0535
0.9495,0.9471356769852833,0.9495,0.9369616661025194,0.9495,0.9418726822736653,0.9495,0.9255397538462219,0.0505
0.9475,0.9485744257130765,0.9475,0.9340879692579543,0.9475,0.9407571436536227,0.9475,0.9223549664721351,0.0525
0.9445,0.9439437870156636,0.9445,0.9361760967115834,0.9445,0.9396799888333137,0.9445,0.9181350123276871,0.0555
0.9475,0.9435281967545249,0.9475,0.9369639828725621,0.9475,0.9399599992983391,0.9475,0.9227252237748729,0.0525
0.9425,0.9401158070729979,0.9425,0.930385269729254,0.9425,0.9349772117678444,0.9425,0.915300987148582,0.0575
0.951,0.9465408292478442,0.951,0.9390597522733651,0.951,0.9426044261821414,0.951,0.9278799009010965,0.049
0.934,0.9338787887214633,0.934,0.9132735905962296,0.934,0.9223447625650456,0.934,0.9023231549620947,0.066
0.9425,0.9361462431399676,0.9425,0.9324431304430671,0.9425,0.9333045342541606,0.9425,0.9153698631346708,0.0575
0.9465,0.943330322812543,0.9465,0.9348373983810955,0.9465,0.938418672344025,0.9465,0.9211350944775771,0.0535
0.9345,0.9334017051991541,0.9345,0.9207560992102798,0.9345,0.9258863929238105,0.9345,0.9030615888205592,0.0655
0.95,0.9472511633945556,0.95,0.9417232712531001,0.95,0.9441749194514752,0.9500000000000001,0.9262790221059725,0.05
0.949,0.9422666177673538,0.949,0.9395031710058515,0.949,0.9403272072767145,0.949,0.9249553594748641,0.051
0.937,0.9291973396436911,0.937,0.9316117477731698,0.937,0.9300783702013785,0.937,0.9076396656849105,0.063
0.943,0.9330358002179714,0.943,0.9313815567664369,0.943,0.9317008714078887,0.943,0.9160966698841877,0.057
0.9525,0.9505080147727688,0.9525,0.94599467518298,0.9525,0.9475251473021657,0.9525,0.9300950155906511,0.0475
0.943,0.9414396479929478,0.943,0.9300650935679694,0.943,0.9349457555651344,0.943,0.9158014776102096,0.057
0.938,0.9346614750135546,0.938,0.9292925425826629,0.938,0.9301798854431342,0.938,0.9087617758931689,0.062
0.9545,0.9508984487964919,0.9545,0.9439380156253657,0.9545,0.9470487651709735,0.9545,0.9329923799081701,0.0455
0.9395,0.9362578329528475,0.9395,0.9295046676639579,0.9395,0.9324771815574593,0.9395,0.9109178297963663,0.0605
