accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.914,0.8968569379095696,0.914,0.9182635924204764,0.914,0.9046290599783294,0.914,0.8752154256949576,0.086
0.923,0.9063171605811066,0.923,0.9194713798733902,0.923,0.9107015386049979,0.923,0.8876943243701493,0.077
0.914,0.9056264912576332,0.914,0.8990375741052844,0.914,0.9005354441751764,0.914,0.8734619092758673,0.086
0.93,0.92007318597034,0.93,0.9199844049601298,0.93,0.9182159656096577,0.93,0.8972930482432893,0.07
0.931,0.9187113711754668,0.931,0.9200869009728745,0.931,0.9181981400728869,0.931,0.898842924319114,0.069
0.9255,0.9160377392701181,0.9255,0.9085773641543029,0.9255,0.9108787558019583,0.9255,0.890445888908455,0.0745
0.919,0.9077076240028936,0.919,0.906194068172085,0.919,0.906177077297243,0.919,0.8810812794773449,0.081
0.928,0.9223935673251256,0.928,0.9145780332345227,0.928,0.9168720070635449,0.928,0.8938703493655437,0.072
0.9215,0.9148416584487128,0.9215,0.9137392702736816,0.9215,0.9133316236179138,0.9215,0.8846514840100875,0.0785
0.919,0.904674470912859,0.919,0.9087866633405243,0.919,0.904944396054078,0.919,0.8813893697785239,0.081
0.917,0.9013504182056081,0.917,0.9042875749918755,0.917,0.9014378909929747,0.917,0.8785079458365002,0.083
0.9365,0.9217342183769907,0.9365,0.9234737180974538,0.9365,0.9212514984728136,0.9365,0.9068220903546924,0.0635
0.9175,0.9029817263614425,0.9175,0.8956112418604202,0.9175,0.8971538060472284,0.9175,0.8786299751596016,0.0825
0.9175,0.9024358936221625,0.9175,0.911749140602503,0.9175,0.9043681391009822,0.9175,0.8797793185454609,0.0825
0.915,0.9055235388757933,0.915,0.904102666013601,0.915,0.9031566876757188,0.915,0.8754002309493366,0.085
0.916,0.9054257516269865,0.916,0.9024673084590238,0.916,0.9004079946948567,0.916,0.8767409424769055,0.084
0.9155,0.8995907219919909,0.9155,0.9107327321428595,0.9155,0.9031077580549342,0.9155,0.8764237320544774,0.0845
0.9395,0.9284944798108653,0.9395,0.9287253691547673,0.9395,0.9278500136548474,0.9395,0.9111278899043487,0.0605
0.9205,0.9086824775597214,0.9205,0.9140347782137987,0.9205,0.9106531374222805,0.9205,0.8835974962480325,0.0795
0.9235,0.9078007469547621,0.9235,0.9233587012050273,0.9235,0.9131076609940084,0.9235,0.8884229310566749,0.0765
0.937,0.9324139264990329,0.937,0.9337616007014038,0.937,0.9309767673559931,0.937,0.9076134915097899,0.063
0.902,0.8875601004601096,0.902,0.8849698450455054,0.902,0.8854632191691311,0.902,0.855566510884832,0.098
0.917,0.9100213821253725,0.917,0.8990036581722113,0.917,0.9022193400898223,0.917,0.8774275438030393,0.083
0.924,0.9074067345713742,0.924,0.9177767743580333,0.924,0.9111746407077957,0.924,0.889135376281462,0.076
0.9255,0.9111683168656569,0.9255,0.9216316453006156,0.9255,0.9141301653874815,0.9255,0.8913621617325767,0.0745
