accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.946,0.9380160282915172,0.946,0.9439715609104415,0.946,0.9406988136352231,0.946,0.9208485040367262,0.054
0.944,0.9391982293823983,0.944,0.934060592093776,0.944,0.9363552855294056,0.944,0.9176032249509206,0.056
0.9395,0.9413865670886811,0.9395,0.9283785525813072,0.9395,0.9337139394040865,0.9395,0.9106913193069499,0.0605
0.941,0.9403044246104063,0.941,0.9234930437899962,0.941,0.9306982317338379,0.941,0.912715017861984,0.059
0.9485,0.9448648245962593,0.9485,0.9344635504385743,0.9485,0.9393417830117367,0.9485,0.9240888823377676,0.0515
0.943,0.9465100412756001,0.943,0.9272633552136096,0.943,0.9358840758430841,0.943,0.915686647205567,0.057
0.947,0.9476132224180124,0.947,0.9323724683542816,0.947,0.9397198097895645,0.9469999999999998,0.9216087946057976,0.053
0.943,0.9411427831878937,0.943,0.9312979966935279,0.943,0.9356044338484247,0.943,0.9158411967677114,0.057
0.9345,0.9353422109303208,0.9345,0.9210563026016746,0.9345,0.927677070416349,0.9345,0.9031776933231042,0.0655
0.9435,0.9389921177954671,0.9435,0.9335163735524388,0.9435,0.9357025231960013,0.9435,0.9167967790781452,0.0565
0.947,0.9496421883881431,0.947,0.9337082032622126,0.947,0.9413823053771857,0.9469999999999998,0.9217700341591883,0.053
0.9495,0.9475060461467749,0.9495,0.935421195085016,0.9495,0.9407151544436889,0.9495,0.9253601741103266,0.0505
0.933,0.9287804552744473,0.933,0.914150964611976,0.933,0.9205650996660385,0.933,0.9011165710178574,0.067
0.9435,0.9358780847070579,0.9435,0.9353697389034199,0.9435,0.9350218617009319,0.9435,0.917114195000959,0.0565
0.941,0.9376026292329054,0.941,0.9277376825019449,0.941,0.9321426497914563,0.941,0.9130289296735711,0.059
0.9315,0.935104459579791,0.9315,0.913139499602794,0.9315,0.9231475947493774,0.9315,0.8984285337232096,0.0685
0.9525,0.9524120381654947,0.9525,0.944405700918587,0.9525,0.947986923758474,0.9525,0.929927308802974,0.0475
0.947,0.9433283600048205,0.947,0.9360476047904515,0.947,0.9392573093785761,0.9469999999999998,0.9219227624610534,0.053
0.932,0.9274975457165019,0.932,0.9248615749912462,0.932,0.9260063037350297,0.932,0.9001539171417003,0.068
0.9455,0.9383786172501688,0.9455,0.930733985956739,0.9455,0.933996232438096,0.9455,0.9195975154894649,0.0545
0.9475,0.9477706804977101,0.9475,0.9380861400981128,0.9475,0.9425361557029764,0.9475,0.9225740800141579,0.0525
0.9435,0.9403889759045679,0.9435,0.9273258613764032,0.9435,0.9333691716086615,0.9435,0.9164728170762085,0.0565
0.94,0.9360455101736121,0.94,0.9245139599547314,0.94,0.9289224264550761,0.94,0.9114024984495437,0.06
0.951,0.9482505349824621,0.951,0.9389893601414468,0.951,0.9433701094494141,0.951,0.9277959986458066,0.049
0.9435,0.9385064020625372,0.9435,0.9363454894030424,0.9435,0.9369483917073481,0.9435,0.9169888247123534,0.0565
