accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.805,0.7645967459152807,0.805,0.7811001517371446,0.805,0.772448803227966,0.805,0.7161235284826366,0.195
0.8035,0.7605875959723236,0.8035,0.7570087020676234,0.8035,0.7582267689263285,0.8035,0.7105337007272012,0.1965
0.8,0.7530074939217145,0.8,0.7689932450837351,0.8,0.7596033412726308,0.8000000000000002,0.7078048253111149,0.2
0.8085,0.7689084864435043,0.8085,0.7619760322516486,0.8085,0.7644632864238563,0.8085,0.7185252634599859,0.1915
0.789,0.7433128193272305,0.789,0.7520458858165698,0.789,0.747546532224613,0.7890000000000001,0.6924153413315064,0.211
0.821,0.7696364424875809,0.821,0.7896233180346436,0.821,0.7786430855684915,0.821,0.7405547056346735,0.179
0.795,0.7500755994789001,0.795,0.7637530553956999,0.795,0.7556467078450071,0.795,0.7011930777368072,0.205
0.8105,0.7470545112375362,0.8105,0.785272168512321,0.8105,0.7627716428266599,0.8105,0.727389023416132,0.1895
0.8125,0.7731777524649632,0.8125,0.7745164707053785,0.8125,0.7731647609287219,0.8125,0.7248063921237388,0.1875
0.8065,0.7674916499781191,0.8065,0.7686938650874292,0.8065,0.7673033883879917,0.8065,0.7167532752689746,0.1935
0.828,0.7682335086600465,0.828,0.7849419203887148,0.828,0.7753891929328369,0.828,0.7498830303270462,0.172
0.806,0.7646428064664602,0.806,0.7718877644704852,0.806,0.7667157499551256,0.806,0.7157254039281914,0.194
0.813,0.7802438563829152,0.813,0.7615309104320073,0.813,0.7700531390124564,0.813,0.7223390485212513,0.187
0.804,0.7561822326547865,0.804,0.7644687871315478,0.804,0.7597185479107345,0.804,0.7139715416277208,0.196
0.82,0.7800419279233827,0.82,0.7860987767559285,0.82,0.7824162470154183,0.82,0.7364076982131738,0.18
0.797,0.7569129346737724,0.797,0.7418643757287016,0.797,0.7480816664646386,0.797,0.6996996996996997,0.203
0.8135,0.7742081480391981,0.8135,0.7750294582369474,0.8135,0.773677351363799,0.8135,0.7257765284558314,0.1865
0.8035,0.753135635738317,0.8035,0.7584679535175578,0.8035,0.7554141814038468,0.8035,0.7122838330968033,0.1965
0.7975,0.7508229694746985,0.7975,0.7653552467782077,0.7975,0.7569834771286795,0.7975,0.7041014822323899,0.2025
0.8115,0.7816757414642651,0.8115,0.7887461800487691,0.8115,0.7838741029442798,0.8115,0.723373101813007,0.1885
0.808,0.7632938193305855,0.808,0.7649734498000624,0.808,0.7634721020092213,0.808,0.7173476759759142,0.192
0.801,0.7632896720602099,0.801,0.7723157016338752,0.801,0.7661425405138286,0.801,0.708137108093402,0.199
0.8085,0.7665283452191559,0.8085,0.7733294474446796,0.8085,0.7686495125679907,0.8085,0.7199442813426589,0.1915
0.822,0.7603036876860972,0.822,0.7923802524213933,0.822,0.7737230390607643,0.822,0.7433475837905255,0.178
0.806,0.7626215658817251,0.806,0.7789426325535206,0.806,0.7697225861951429,0.806,0.7171249837328639,0.194
