accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.948,0.9349609080323481,0.948,0.9443630949894484,0.948,0.9394984011191697,0.948,0.9238763063173516,0.052
0.949,0.9433900068591073,0.949,0.9358056177641106,0.949,0.9395317902378136,0.949,0.9249696568465188,0.051
0.951,0.9507420016513751,0.951,0.9417514564659767,0.951,0.9459542756479441,0.951,0.9277620688943469,0.049
0.9495,0.9447812428420796,0.9495,0.9375407454185348,0.9495,0.9407935010275547,0.9495,0.9256651405940828,0.0505
0.942,0.9337727130838425,0.942,0.9309408805593381,0.942,0.9321747958428367,0.942,0.9148446355056761,0.058
0.9485,0.9425275169397468,0.9485,0.9385143893115017,0.9485,0.9404217156893676,0.9485,0.9243289428202309,0.0515
0.946,0.9379951889208972,0.946,0.9342392189176106,0.946,0.9358467251303347,0.946,0.9206416271405635,0.054
0.9495,0.9488311937810722,0.9495,0.9382638493989539,0.9495,0.9433229372445903,0.9495,0.9255018025244562,0.0505
0.94,0.9371303852540603,0.94,0.9335065723231372,0.94,0.9352270425166959,0.94,0.9117269626682291,0.06
0.9495,0.944214922504853,0.9495,0.9416292559057702,0.9495,0.9426981436905328,0.9495,0.9257595314470863,0.0505
0.9465,0.9426178618612283,0.9465,0.9416387694187471,0.9465,0.941938889466352,0.9465,0.9214950281407308,0.0535
0.9555,0.9514860406112707,0.9555,0.9434520588503249,0.9555,0.9472136616451713,0.9555,0.9344758825233559,0.0445
0.9425,0.9407560563924956,0.9425,0.9240257331575332,0.9425,0.9319760500743658,0.9425,0.9151656206833594,0.0575
0.9455,0.9420887708859257,0.9455,0.936351685594984,0.9455,0.939012359534552,0.9455,0.9199738042691405,0.0545
0.9435,0.9364986248765327,0.9435,0.9357464176684864,0.9435,0.9356937246651401,0.9435,0.9171075980055942,0.0565
0.943,0.9435010555407205,0.943,0.9281343183169358,0.943,0.935127859433141,0.943,0.9156433489590463,0.057
0.951,0.9461542636791807,0.951,0.9453190833619448,0.951,0.945463173815635,0.951,0.9279453355082078,0.049
0.9555,0.9483602366095133,0.9555,0.9474577028496447,0.9555,0.9478478942821914,0.9555,0.9346974234464865,0.0445
0.9365,0.9295247047490807,0.9365,0.929178597508126,0.9365,0.9292537901160834,0.9365,0.9069818200728106,0.0635
0.946,0.9349222990453575,0.946,0.9347710706576576,0.946,0.9346382798507428,0.946,0.9206656154860718,0.054
0.952,0.9520592253455019,0.952,0.9428800511115037,0.952,0.9472695586002956,0.952,0.9292184425771712,0.048
0.9425,0.9419130978647906,0.9425,0.9273853072439125,0.9425,0.9342556100600667,0.9425,0.9149822996844365,0.0575
0.9405,0.9338029870023515,0.9405,0.9282260842909339,0.9405,0.9305101309653881,0.9405,0.9125516973789025,0.0595
0.9545,0.9502568335679996,0.9545,0.9437272540860272,0.9545,0.9468145807256848,0.9545,0.9331900222602035,0.0455
0.9505,0.93707784046758,0.9505,0.9465184320979256,0.9505,0.941468665586017,0.9505,0.9277222695353382,0.0495
