accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.948,0.9327282970550698,0.948,0.9532759378327462,0.948,0.9426169871115287,0.948,0.9243316079969849,0.052
0.9495,0.9366833329447486,0.9495,0.9466804975823232,0.9495,0.9415592991737238,0.9495,0.9261454043429427,0.0505
0.9505,0.9448263289018214,0.9505,0.9486545466300504,0.9505,0.9460320394848746,0.9505,0.927464264244022,0.0495
0.9475,0.9416807051008864,0.9475,0.9384844907124128,0.9475,0.9396363318348565,0.9475,0.9227807746191438,0.0525
0.9455,0.9358548083026555,0.9455,0.941385713989492,0.9455,0.9384238594175044,0.9455,0.9202833233078033,0.0545
0.9485,0.9446332174737703,0.9485,0.9418587351605058,0.9485,0.9431358404449893,0.9485,0.9244309577752474,0.0515
0.9475,0.938450588765784,0.9475,0.9413059221094698,0.9475,0.9398681554065543,0.9475,0.9231118466337634,0.0525
0.9435,0.9389006820676246,0.9435,0.9350559607022754,0.9435,0.9368655893274239,0.9435,0.916859557398543,0.0565
0.9445,0.9354442736922303,0.9445,0.9406832416405065,0.9445,0.9379064350894004,0.9445,0.9185841863351258,0.0555
0.9415,0.9299034078979633,0.9415,0.9359352277915064,0.9415,0.932761837552896,0.9415,0.9143541368598932,0.0585
0.9495,0.9401566919508721,0.9495,0.9454323929854693,0.9495,0.9426609630082967,0.9495,0.9260894398274737,0.0505
0.9465,0.9374926771615244,0.9465,0.9391384370680464,0.9465,0.9382375760445963,0.9465,0.9215364771051506,0.0535
0.9365,0.9267878593065317,0.9365,0.9245079352017443,0.9365,0.9251485170211816,0.9365,0.9068429364573469,0.0635
0.9455,0.9293942008880404,0.9455,0.9436761381863251,0.9455,0.936054976957137,0.9455,0.9205883167200206,0.0545
0.942,0.9378254472259512,0.942,0.9359834236356344,0.942,0.9366217238249637,0.942,0.9147987266816602,0.058
0.9375,0.9242759805853086,0.9375,0.9314501875054502,0.9375,0.9274618524590279,0.9375,0.9083936347500319,0.0625
0.945,0.93407372665026,0.945,0.9447915339482025,0.945,0.938973820558688,0.945,0.9195198407370812,0.055
0.9625,0.9542144794399231,0.9625,0.9600696707963284,0.9625,0.9569375151550942,0.9625000000000001,0.9450222403363759,0.0375
0.9375,0.9246091895411218,0.9375,0.9371946128958571,0.9375,0.930737097704689,0.9375,0.908807017044698,0.0625
0.9395,0.9252106028040465,0.9395,0.933577072573473,0.9395,0.9291678042725108,0.9395,0.9114406592035295,0.0605
0.9505,0.9453205867193555,0.9505,0.9441294669589592,0.9505,0.9444869832513839,0.9505,0.9273367296684133,0.0495
0.9365,0.9265287637196801,0.9365,0.9283615247300675,0.9365,0.9270768603511504,0.9365,0.906834940858527,0.0635
0.9355,0.9239028104736532,0.9355,0.9296924528354147,0.9355,0.9264900208866748,0.9355,0.9055086618891163,0.0645
0.951,0.9440314565895136,0.951,0.9433243402800233,0.951,0.9436337076947502,0.951,0.9281285970078762,0.049
0.9375,0.9252792803306646,0.9375,0.9378283928022029,0.9375,0.9308212966165114,0.9375,0.908652674448728,0.0625
