accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.8965,0.8669661176697424,0.8965,0.8890190136413886,0.8965,0.8761723339592972,0.8965,0.8500107600976452,0.1035
0.899,0.8933131509229107,0.899,0.8653657814146695,0.899,0.8786434046183008,0.899,0.8494286862205631,0.101
0.8645,0.8441791868096752,0.8645,0.8259434089182447,0.8645,0.8344078404066589,0.8645,0.7987434461657285,0.1355
0.831,0.7928518300334685,0.831,0.7468972527539487,0.831,0.7663688028856951,0.831,0.747856594557134,0.169
0.828,0.7822295300981755,0.828,0.7484852763146829,0.828,0.7637890522688279,0.828,0.7432556084468904,0.172
0.8945,0.8504800000710063,0.8945,0.8890330567351907,0.8945,0.8679500306057184,0.8945,0.8477073093273859,0.1055
0.9135,0.8912755191454925,0.9135,0.8960431005150924,0.9135,0.8925703184845976,0.9135,0.8733453447825237,0.0865
0.8555,0.8241168885893813,0.8555,0.8112282227740203,0.8555,0.8161831233289408,0.8554999999999999,0.7860741686039044,0.1445
0.8755,0.8375858120534528,0.8755,0.8327174253419996,0.8755,0.834989878629178,0.8755,0.8170668543506865,0.1245
0.899,0.8679983486501383,0.899,0.8614718683957806,0.899,0.8645507664671815,0.899,0.851113808752002,0.101
0.8735,0.8228584724246101,0.8735,0.8372571320345225,0.8735,0.8298568410088429,0.8735,0.816111937678664,0.1265
0.905,0.8839857677869998,0.905,0.8830260536890248,0.905,0.8830534011784027,0.905,0.8605984946838503,0.095
0.8715,0.8258854246563713,0.8715,0.8336721266538659,0.8715,0.8289407175777009,0.8715,0.8128820854983252,0.1285
0.856,0.8296857272164645,0.856,0.8120102306223181,0.856,0.8192211257643037,0.856,0.7870269854557179,0.144
0.8445,0.8102524526419307,0.8445,0.7955369545766037,0.8445,0.800304084102771,0.8445,0.7709250062977209,0.1555
0.835,0.800346871532064,0.835,0.7708482352111822,0.835,0.7836633751928078,0.835,0.7548427836487566,0.165
0.894,0.8708376269966545,0.894,0.8581035800289499,0.894,0.8635852213426785,0.894,0.843341206915599,0.106
0.847,0.8093169782594406,0.847,0.7746822747743015,0.847,0.7882399615606018,0.847,0.7726281437317071,0.153
0.86,0.822915860249068,0.86,0.8018054555073046,0.86,0.8114537495512538,0.8599999999999999,0.7922516544744356,0.14
0.892,0.872721588581709,0.892,0.8807768636434302,0.892,0.8758996223198289,0.892,0.8417631685460343,0.108
0.939,0.9366060106041051,0.939,0.9288656105423385,0.939,0.9323963413994245,0.939,0.9102239470998288,0.061
0.861,0.8366906012485917,0.861,0.8163666749251801,0.861,0.8252329823857608,0.861,0.7933341337299137,0.139
0.8945,0.8677737749371307,0.8945,0.8628468160088324,0.8945,0.8645585454204117,0.8945,0.8447746436805624,0.1055
0.8785,0.865974716351324,0.8785,0.8513551139917169,0.8785,0.8582475599156036,0.8785,0.8211472410857907,0.1215
0.889,0.8516106739263739,0.889,0.8770963753410951,0.889,0.8631507265093764,0.889,0.839212285050545,0.111
