accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.9425,0.9240514495630658,0.9425,0.9478134210085213,0.9425,0.9355426466442308,0.9425,0.9164785618625135,0.0575
0.941,0.9321288459928523,0.941,0.9341984598244517,0.941,0.9330795292534031,0.941,0.9134820928095188,0.059
0.942,0.931126429027011,0.942,0.9418857328010241,0.942,0.9359741550846196,0.942,0.9153112821433839,0.058
0.9445,0.9395006114213785,0.9445,0.9380658529972425,0.9445,0.9382532003061455,0.9445,0.918509262780464,0.0555
0.9455,0.9310592482401822,0.9455,0.9446559213195709,0.9455,0.9372277130152824,0.9455,0.9205376611390526,0.0545
0.9475,0.94165014051103,0.9475,0.9402006243027391,0.9475,0.9408254391613333,0.9475,0.9229785443898488,0.0525
0.941,0.9266959726451272,0.941,0.9366279130649916,0.941,0.9315425896989246,0.941,0.9138972721488322,0.059
0.9325,0.9216405570426393,0.9325,0.9278667062757086,0.9325,0.9245619818000436,0.9325,0.901122262322638,0.0675
0.9405,0.9303717815387341,0.9405,0.9387102091132339,0.9405,0.9343521347480269,0.9405,0.9129057567099161,0.0595
0.9335,0.9178080323164558,0.9335,0.9334417881295433,0.9335,0.9251785827307705,0.9335,0.9029677991710677,0.0665
0.9465,0.9331127226857229,0.9465,0.9405844388488895,0.9465,0.9367876913364763,0.9465,0.9218084892596288,0.0535
0.9505,0.9426300010101619,0.9505,0.9495906250781143,0.9505,0.9460563800606344,0.9505,0.9275346671590405,0.0495
0.939,0.9290563961652759,0.939,0.924964172716884,0.939,0.9266625397327669,0.939,0.9104310396093032,0.061
0.942,0.9240587612928564,0.942,0.9446346431841892,0.942,0.933828467568352,0.942,0.915735060861442,0.058
0.9435,0.9300320509329377,0.9435,0.9428399293243871,0.9435,0.9362755813898459,0.9435,0.9175999264962176,0.0565
0.937,0.9194891694010786,0.937,0.9330188238432097,0.937,0.9258108608029746,0.937,0.907845089057482,0.063
0.951,0.9369477059877477,0.951,0.9527800507644889,0.951,0.9444512602444172,0.951,0.9284728702340944,0.049
0.9565,0.9462520916761613,0.9565,0.9512021856972747,0.9565,0.9486316980354341,0.9565,0.9362634561031038,0.0435
0.932,0.9198768541102577,0.932,0.9264966606109897,0.932,0.9231144325935441,0.932,0.9006848364732017,0.068
0.9445,0.9360708501576891,0.9445,0.9361737331172827,0.9445,0.9360032384358342,0.9445,0.9186079465774825,0.0555
0.9365,0.922472542896171,0.9365,0.9380806395575932,0.9365,0.9297151909142456,0.9365,0.9074219191363266,0.0635
0.9395,0.9273074719764982,0.9395,0.9310390131586095,0.9395,0.928880788913072,0.9395,0.9112642027693636,0.0605
0.935,0.9240672656748107,0.935,0.9316588133743412,0.935,0.927343328511281,0.935,0.9049326777100768,0.065
0.9405,0.9264843028633761,0.9405,0.9342178952967499,0.9405,0.9301654547778774,0.9405,0.9130175138139518,0.0595
0.9255,0.9018677345170748,0.9255,0.9307214124839782,0.9255,0.915452656495536,0.9255,0.8919788104474615,0.0745
