accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.949,0.9341249235349682,0.949,0.9458409840864132,0.949,0.9398784313944016,0.949,0.9254756952131286,0.051
0.9495,0.9397156084656085,0.9495,0.9446557535416442,0.9495,0.9419156460434627,0.9495,0.9260290024901128,0.0505
0.948,0.9391784048487023,0.948,0.9415778808365847,0.948,0.9394827768117943,0.948,0.9237626084916725,0.052
0.948,0.9420939255985848,0.948,0.9379223247041367,0.948,0.9396710759956762,0.948,0.9235670100516731,0.052
0.9395,0.9271272868736485,0.9395,0.9301774177696727,0.9395,0.9283922580108838,0.9395,0.9113029703608979,0.0605
0.9515,0.9459176611897316,0.9515,0.9461935694754503,0.9515,0.9459186058104204,0.9514999999999999,0.9289392907115595,0.0485
0.946,0.9393109667082286,0.946,0.9348621747400712,0.946,0.936997388921544,0.946,0.9207092993675465,0.054
0.939,0.9325069156598262,0.939,0.9285919147439178,0.939,0.9304756774049436,0.939,0.9103088903004211,0.061
0.946,0.9437380231284394,0.946,0.9372112261851561,0.946,0.9403933563010146,0.946,0.9205062866278325,0.054
0.949,0.9385564742451818,0.949,0.9409445290532393,0.949,0.9396997224606013,0.949,0.9251692769994935,0.051
0.9445,0.9351194816416165,0.9445,0.9383810062160444,0.9445,0.9366404764207399,0.9445,0.918663531915221,0.0555
0.954,0.9462115586535381,0.954,0.9446591069227259,0.954,0.9453394420463438,0.954,0.9323759880364302,0.046
0.938,0.9288572725169009,0.938,0.9213813250933874,0.938,0.9244860341436922,0.938,0.9088371703204704,0.062
0.9425,0.9281588660373595,0.9425,0.938404549814427,0.9425,0.9325856146152353,0.9425,0.9160548402779096,0.0575
0.943,0.9361975420229628,0.943,0.9349179919907437,0.943,0.9353749773595896,0.943,0.9164289657204813,0.057
0.936,0.9291925004647085,0.936,0.9255347916082605,0.936,0.9268961905663528,0.936,0.9057202055594143,0.064
0.9485,0.9411057329473239,0.9485,0.9419677430575586,0.9485,0.9412910286757336,0.9485,0.9244049735655936,0.0515
0.955,0.9451842543772565,0.955,0.9449852663884192,0.955,0.9450216017522021,0.955,0.93391988005724,0.045
0.9355,0.927974209001432,0.9355,0.9281207534386656,0.9355,0.9279474382423339,0.9355,0.9054490656315416,0.0645
0.949,0.9365206437592092,0.949,0.9410320786341221,0.949,0.93867046682817,0.949,0.9252410426675755,0.051
0.9515,0.9417317026631787,0.9515,0.9480151711360048,0.9515,0.9446792095462607,0.9514999999999999,0.9290088501080419,0.0485
0.9445,0.9408727060642718,0.9445,0.9301490734906911,0.9445,0.935199801356025,0.9445,0.9180453445510306,0.0555
0.944,0.9344057666688664,0.944,0.9352151291883896,0.944,0.934410970426851,0.944,0.9177717313896137,0.056
0.949,0.9394241878997329,0.949,0.9383069776329921,0.949,0.938757493934422,0.949,0.9252099620330572,0.051
0.9465,0.9317009959360595,0.9465,0.9409917359901602,0.9465,0.9362170852206196,0.9465,0.9218824718138087,0.0535
