accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.9475,0.9354726001586209,0.9475,0.9446251466817258,0.9475,0.9398996863293734,0.9475,0.9231804746715051,0.0525
0.9525,0.948301981405995,0.9525,0.9409457592928109,0.9525,0.9445542771425423,0.9525,0.9301348581094125,0.0475
0.957,0.9562021033368882,0.957,0.947432969561528,0.957,0.9512421613200023,0.957,0.9366671686652717,0.043
0.9495,0.9466461631621982,0.9495,0.9379760916267178,0.9495,0.9415280099246721,0.9495,0.9256061989923691,0.0505
0.9425,0.9346037103677288,0.9425,0.9295745689818701,0.9425,0.9319412961192012,0.9425,0.9154947378940701,0.0575
0.945,0.9410968695419014,0.945,0.9353836354217799,0.945,0.9376148997798138,0.945,0.9192092198438314,0.055
0.95,0.9468447590498693,0.95,0.9352386539640826,0.95,0.9405643596019364,0.9500000000000001,0.9263614841106492,0.05
0.947,0.9458342233247481,0.947,0.9368420689590256,0.947,0.9412086451917566,0.9469999999999998,0.9219083535591925,0.053
0.937,0.9352486157198877,0.937,0.9300307634489205,0.937,0.9325073851519408,0.937,0.9072796170795361,0.063
0.951,0.9427345956984962,0.951,0.9426336879607636,0.951,0.9424263790286055,0.951,0.9280706229047357,0.049
0.953,0.9484480883158474,0.953,0.9457910827132983,0.953,0.9469576805414438,0.953,0.930987267517946,0.047
0.957,0.9548279359272974,0.957,0.9440437022827242,0.957,0.9493104373877378,0.957,0.9366426964868375,0.043
0.9485,0.9485264072702565,0.9485,0.9312721804142218,0.9485,0.9393677112891071,0.9485,0.9239301102348714,0.0515
0.944,0.9402726428082696,0.944,0.9351370236875961,0.944,0.9375801884018489,0.944,0.9177852521423548,0.056
0.948,0.9426827474203635,0.948,0.9388456395502484,0.948,0.9403343571881256,0.948,0.9236826357082343,0.052
0.94,0.9379703510416796,0.94,0.931817815368631,0.94,0.9343363602006655,0.94,0.9115405978897273,0.06
0.952,0.9449745454206226,0.952,0.9484734620370547,0.952,0.9465145394018543,0.952,0.9295549339430745,0.048
0.955,0.9492576233748494,0.955,0.9456933190330359,0.955,0.9474212060675029,0.955,0.9338964620284752,0.045
0.939,0.9327553109586312,0.939,0.9307574341651413,0.939,0.931685923127898,0.939,0.9105910408558636,0.061
0.945,0.9326304499739976,0.945,0.9343307218232626,0.945,0.9333941924108392,0.945,0.9192924441953109,0.055
0.954,0.9537788895665456,0.954,0.945934347644061,0.954,0.9496328607682735,0.954,0.9322429355895454,0.046
0.938,0.9359240201650282,0.938,0.9213840962591083,0.938,0.9282368113928476,0.938,0.908280495995408,0.062
0.9485,0.942954901263426,0.9485,0.9350772192523498,0.9485,0.9385357119134863,0.9485,0.9241821703700241,0.0515
0.9585,0.9557765066914948,0.9585,0.9455776549335234,0.9585,0.9505023803289111,0.9585,0.9389182420670067,0.0415
0.947,0.9327391764130214,0.947,0.943702063219194,0.947,0.9379722396156435,0.9469999999999998,0.9226332714886089,0.053
