accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.9535,0.9410968662738751,0.9535,0.9499509419867613,0.9535,0.9454042930582617,0.9535,0.9319710972257375,0.0465
0.9545,0.9510785756823358,0.9545,0.9424863966423246,0.9545,0.946689866630415,0.9545,0.9330107543504362,0.0455
0.95,0.9469079480048612,0.95,0.9414079707506725,0.95,0.9437015627608113,0.9500000000000001,0.926447873608026,0.05
0.9475,0.9467478399671219,0.9475,0.9352032945022559,0.9475,0.9399206487786765,0.9475,0.9225928020152411,0.0525
0.946,0.9396578060573993,0.946,0.9323803357823471,0.946,0.9359165673107764,0.946,0.9205302691374885,0.054
0.948,0.9451780237545749,0.948,0.9399597304401729,0.948,0.9420112302490842,0.948,0.9236525500965905,0.052
0.9485,0.943603101824758,0.9485,0.9361826348221784,0.9485,0.9397255537738137,0.9485,0.9242628402979044,0.0515
0.9435,0.938870829071499,0.9435,0.9347178005353739,0.9435,0.9366362350145283,0.9435,0.9168657658005624,0.0565
0.9385,0.9379750322023597,0.9385,0.9304869917739232,0.9385,0.9341082358415215,0.9385,0.9094084815756738,0.0615
0.9465,0.9429083079484543,0.9465,0.9345688177050294,0.9465,0.9384637443367475,0.9465,0.9211155005461092,0.0535
0.9485,0.9439328185373522,0.9485,0.9392527413718396,0.9485,0.9414832362601508,0.9485,0.9242679356321569,0.0515
0.9535,0.9510669642826975,0.9535,0.9408632062865211,0.9535,0.9457951745009309,0.9535,0.9314940340879794,0.0465
0.9485,0.947446586011334,0.9485,0.9296193666175068,0.9485,0.9379892028780183,0.9485,0.9239608568208773,0.0515
0.941,0.9374349085077118,0.941,0.9316516048710946,0.941,0.9341105023906641,0.941,0.9134051410193609,0.059
0.95,0.9478475551151982,0.95,0.9410885501989231,0.95,0.944137469843591,0.9500000000000001,0.9264494694984111,0.05
0.9425,0.9423593450603781,0.9425,0.9307783052837015,0.9425,0.935931061123238,0.9425,0.9149778683694751,0.0575
0.95,0.9457942583218112,0.95,0.9456877306828245,0.95,0.9454339582247822,0.9500000000000001,0.9265172713805347,0.05
0.9555,0.9494108180187864,0.9555,0.9491512611237298,0.9555,0.9492497856965674,0.9555,0.9347292713183184,0.0445
0.937,0.9257709552061466,0.937,0.9303047236342522,0.937,0.9278894809807979,0.937,0.9078405055606552,0.063
0.9485,0.9385557984852119,0.9485,0.9383255794038652,0.9485,0.9382344636001111,0.9485,0.9244072482440281,0.0515
0.956,0.9540916235628233,0.956,0.9497675077608733,0.956,0.9516487829044552,0.956,0.9353065093046515,0.044
0.94,0.938831515980573,0.94,0.9212408696990494,0.94,0.9297366323040964,0.94,0.9112833528386739,0.06
0.9465,0.9417759180179482,0.9465,0.9357036059658923,0.9465,0.9379253791139434,0.9465,0.9212699524566166,0.0535
0.9505,0.9472355681729644,0.9505,0.9360093200619485,0.9505,0.9413948228362953,0.9505,0.9271995926118617,0.0495
0.9415,0.9273539166846921,0.9415,0.935744227688947,0.9415,0.9312587688057791,0.9415,0.9145121787265383,0.0585
