infogain,giniindex,fisherscore,reliefF,chisquare,mutalinformation
feature71,feature10,feature22,feature10,feature22,feature15
feature10,feature15,feature45,feature49,feature45,feature10
feature22,feature22,feature10,feature19,feature85,feature71
feature15,feature5,feature85,feature33,feature97,feature22
feature5,feature46,feature5,feature72,feature13,feature5
feature45,feature45,feature19,feature97,feature76,feature46
feature46,feature71,feature71,feature13,feature105,feature19
feature44,feature44,feature13,feature59,feature5,feature105
feature19,feature2,feature97,feature105,feature35,feature13
feature85,feature19,feature105,feature46,feature33,feature76
feature2,feature85,feature33,feature35,feature59,feature44
feature9,feature16,feature35,feature16,feature19,feature33
feature89,feature18,feature46,feature27,feature14,feature35
feature35,feature67,feature27,feature14,feature46,feature97
feature14,feature14,feature76,feature76,feature27,feature59
feature36,feature28,feature59,feature39,feature30,feature45
feature18,feature101,feature14,feature87,feature71,feature14
feature48,feature106,feature15,feature30,feature49,feature30
feature91,feature79,feature49,feature36,feature15,feature27
feature69,feature6,feature30,feature86,feature44,feature49
feature59,feature34,feature44,feature94,feature10,feature85
feature58,feature68,feature2,feature31,feature31,feature31
feature49,feature43,feature31,feature89,feature6,feature2
feature47,feature37,feature56,feature9,feature67,feature16
feature31,feature104,feature6,feature44,feature91,feature6
feature87,feature4,feature67,feature101,feature9,feature39
feature105,feature98,feature91,feature81,feature36,feature79
feature8,feature13,feature9,feature51,feature56,feature90
feature74,feature59,feature36,feature61,feature94,feature17
feature7,feature49,feature94,feature67,feature0,feature94
feature98,feature23,feature69,feature6,feature104,feature93
feature101,feature86,feature82,feature96,feature82,feature36
feature27,feature50,feature0,feature42,feature87,feature0
feature28,feature36,feature55,feature48,feature66,feature87
feature61,feature33,feature98,feature91,feature61,feature99
feature11,feature48,feature72,feature66,feature24,feature40
feature70,feature29,feature104,feature43,feature16,feature98
feature104,feature41,feature16,feature82,feature72,feature106
feature82,feature97,feature87,feature8,feature69,feature81
feature86,feature42,feature24,feature7,feature89,feature83
feature34,feature39,feature84,feature79,feature81,feature91
feature76,feature40,feature21,feature84,feature84,feature29
feature39,feature51,feature58,feature58,feature55,feature52
feature6,feature53,feature66,feature22,feature58,feature9
feature42,feature52,feature61,feature56,feature39,feature24
feature33,feature96,feature51,feature74,feature53,feature41
feature4,feature31,feature43,feature38,feature51,feature51
feature97,feature24,feature89,feature29,feature102,feature62
feature3,feature30,feature39,feature104,feature98,feature101
feature68,feature75,feature81,feature73,feature50,feature56
feature41,feature61,feature52,feature83,feature43,feature43
feature93,feature63,feature96,feature24,feature96,feature48
feature30,feature56,feature86,feature53,feature86,feature34
feature95,feature3,feature8,feature34,feature62,feature67
feature99,feature84,feature18,feature50,feature79,feature89
feature13,feature64,feature7,feature103,feature7,feature63
feature24,feature102,feature102,feature3,feature8,feature38
feature25,feature72,feature53,feature62,feature18,feature84
feature75,feature66,feature79,feature71,feature101,feature8
feature81,feature83,feature11,feature5,feature29,feature4
feature90,feature58,feature90,feature23,feature2,feature26
feature72,feature95,feature50,feature95,feature42,feature74
feature62,feature99,feature42,feature11,feature52,feature72
feature0,feature89,feature29,feature0,feature21,feature61
feature17,feature91,feature23,feature52,feature11,feature21
feature23,feature90,feature62,feature93,feature73,feature7
feature56,feature47,feature12,feature55,feature23,feature95
feature79,feature12,feature37,feature70,feature75,feature37
feature53,feature25,feature25,feature28,feature48,feature66
feature32,feature21,feature40,feature106,feature95,feature3
feature29,feature76,feature17,feature90,feature37,feature68
feature66,feature9,feature101,feature21,feature12,feature23
feature40,feature103,feature73,feature99,feature90,feature47
feature64,feature27,feature48,feature25,feature40,feature96
feature67,feature70,feature38,feature69,feature34,feature104
feature102,feature35,feature26,feature37,feature38,feature102
feature12,feature87,feature75,feature17,feature68,feature11
feature43,feature69,feature95,feature41,feature3,feature18
feature73,feature7,feature68,feature75,feature63,feature25
feature50,feature17,feature47,feature4,feature26,feature42
feature96,feature62,feature34,feature102,feature103,feature103
feature52,feature81,feature3,feature98,feature25,feature86
feature55,feature38,feature28,feature40,feature17,feature58
feature84,feature8,feature63,feature18,feature28,feature50
feature37,feature73,feature103,feature26,feature47,feature12
feature63,feature55,feature74,feature47,feature74,feature75
feature83,feature78,feature4,feature63,feature4,feature69
feature103,feature20,feature70,feature15,feature70,feature82
feature80,feature105,feature83,feature12,feature83,feature28
feature88,feature82,feature93,feature68,feature106,feature55
feature94,feature65,feature106,feature45,feature93,feature70
feature92,feature11,feature99,feature85,feature99,feature53
feature106,feature26,feature64,feature2,feature41,feature73
feature51,feature93,feature78,feature1,feature64,feature20
feature21,feature74,feature41,feature88,feature78,feature88
feature60,feature94,feature1,feature54,feature1,feature65
feature38,feature60,feature80,feature60,feature80,feature78
feature16,feature32,feature88,feature32,feature88,feature80
feature20,feature54,feature20,feature80,feature20,feature54
feature26,feature0,feature54,feature78,feature54,feature92
feature54,feature80,feature65,feature20,feature65,feature32
feature65,feature92,feature92,feature64,feature92,feature1
feature78,feature88,feature60,feature65,feature60,feature60
feature1,feature1,feature32,feature92,feature32,feature64
